year,month,total_precip_mm,date
1963,3,122.4,1963-03-01
1963,4,126.2,1963-04-01
1963,5,121.9,1963-05-01
1963,6,47.5,1963-06-01
1963,7,40.4,1963-07-01
1963,8,143.8,1963-08-01
1963,9,81.3,1963-09-01
1963,10,67.8,1963-10-01
1963,11,238.3,1963-11-01
1963,12,152.9,1963-12-01
1964,1,124.5,1964-01-01
1964,2,184.2,1964-02-01
1964,3,119.6,1964-03-01
1964,4,113.3,1964-04-01
1964,5,30.2,1964-05-01
1964,6,72.1,1964-06-01
1964,7,90.9,1964-07-01
1964,8,164.6,1964-08-01
1964,9,72.9,1964-09-01
1964,10,100.8,1964-10-01
1964,11,78.5,1964-11-01
1964,12,179.8,1964-12-01
1965,1,82.0,1965-01-01
1965,2,119.4,1965-02-01
1965,3,20.1,1965-03-01
1965,4,63.0,1965-04-01
1965,5,24.9,1965-05-01
1965,6,71.9,1965-06-01
1965,7,27.4,1965-07-01
1965,8,83.6,1965-08-01
1965,9,28.4,1965-09-01
1965,10,80.3,1965-10-01
1965,11,104.6,1965-11-01
1965,12,101.1,1965-12-01
1966,1,109.2,1966-01-01
1966,2,73.2,1966-02-01
1966,3,68.3,1966-03-01
1966,4,17.3,1966-04-01
1966,5,146.6,1966-05-01
1966,6,64.5,1966-06-01
1966,7,33.0,1966-07-01
1966,8,85.9,1966-08-01
1966,9,98.3,1966-09-01
1966,10,78.2,1966-10-01
1966,11,94.5,1966-11-01
1966,12,111.0,1966-12-01
1967,1,121.2,1967-01-01
1967,2,150.4,1967-02-01
1967,3,108.5,1967-03-01
1967,4,75.7,1967-04-01
1967,5,126.2,1967-05-01
1967,6,65.5,1967-06-01
1967,7,196.1,1967-07-01
1967,8,105.4,1967-08-01
1967,9,111.5,1967-09-01
1967,10,190.8,1967-10-01
1967,11,161.8,1967-11-01
1967,12,275.8,1967-12-01
1968,1,148.1,1968-01-01
1968,2,62.2,1968-02-01
1968,3,105.4,1968-03-01
1968,4,59.7,1968-04-01
1968,5,98.6,1968-05-01
1968,6,184.2,1968-06-01
1968,7,11.7,1968-07-01
1968,8,56.6,1968-08-01
1968,9,42.9,1968-09-01
1968,10,119.6,1968-10-01
1968,11,163.1,1968-11-01
1968,12,156.7,1968-12-01
1969,1,105.7,1969-01-01
1969,2,94.0,1969-02-01
1969,3,68.3,1969-03-01
1969,4,146.1,1969-04-01
1969,5,81.8,1969-05-01
1969,6,18.8,1969-06-01
1969,7,121.4,1969-07-01
1969,8,56.4,1969-08-01
1969,9,113.0,1969-09-01
1969,10,61.7,1969-10-01
1969,11,127.3,1969-11-01
1969,12,221.7,1969-12-01
1970,1,38.1,1970-01-01
1970,2,92.5,1970-02-01
1970,3,93.5,1970-03-01
1970,4,107.2,1970-04-01
1970,5,82.0,1970-05-01
1970,6,91.4,1970-06-01
1970,7,59.7,1970-07-01
1970,8,209.0,1970-08-01
1970,9,97.8,1970-09-01
1970,10,95.5,1970-10-01
1970,11,78.0,1970-11-01
1970,12,150.4,1970-12-01
1971,1,112.8,1971-01-01
1971,2,115.3,1971-02-01
1971,3,95.0,1971-03-01
1971,4,58.2,1971-04-01
1971,5,115.6,1971-05-01
1971,6,22.4,1971-06-01
1971,7,59.4,1971-07-01
1971,8,145.3,1971-08-01
1971,9,37.3,1971-09-01
1971,10,51.8,1971-10-01
1971,11,141.2,1971-11-01
1971,12,128.3,1971-12-01
1972,1,128.0,1972-01-01
1972,2,112.5,1972-02-01
1972,3,94.5,1972-03-01
1972,4,95.8,1972-04-01
1972,5,148.8,1972-05-01
1972,6,86.1,1972-06-01
1972,7,38.6,1972-07-01
1972,8,33.8,1972-08-01
1972,9,90.9,1972-09-01
1972,10,124.7,1972-10-01
1972,11,208.3,1972-11-01
1972,12,138.9,1972-12-01
1973,1,86.4,1973-01-01
1973,2,156.2,1973-02-01
1973,3,93.2,1973-03-01
1973,4,133.9,1973-04-01
1973,5,80.8,1973-05-01
1973,6,203.5,1973-06-01
1973,7,176.0,1973-07-01
1973,8,87.6,1973-08-01
1973,9,33.3,1973-09-01
1973,10,88.1,1973-10-01
1973,11,93.5,1973-11-01
1973,12,163.6,1973-12-01
1974,1,98.8,1974-01-01
1974,2,148.8,1974-02-01
1974,3,83.3,1974-03-01
1974,4,97.0,1974-04-01
1974,5,124.5,1974-05-01
1974,6,74.7,1974-06-01
1974,7,36.8,1974-07-01
1974,8,115.1,1974-08-01
1974,9,135.4,1974-09-01
1974,10,95.3,1974-10-01
1974,11,143.0,1974-11-01
1974,12,84.6,1974-12-01
1975,1,186.7,1975-01-01
1975,2,73.9,1975-02-01
1975,3,108.5,1975-03-01
1975,4,79.0,1975-04-01
1975,5,44.7,1975-05-01
1975,6,50.3,1975-06-01
1975,7,68.8,1975-07-01
1975,8,52.3,1975-08-01
1975,9,113.0,1975-09-01
1975,10,171.2,1975-10-01
1975,11,186.4,1975-11-01
1975,12,191.5,1975-12-01
1976,1,187.2,1976-01-01
1976,2,96.8,1976-02-01
1976,3,77.0,1976-03-01
1976,4,56.9,1976-04-01
1976,5,153.2,1976-05-01
1976,6,68.8,1976-06-01
1976,7,52.6,1976-07-01
1976,8,30.7,1976-08-01
1976,9,148.3,1976-09-01
1976,10,157.0,1976-10-01
1976,11,69.6,1976-11-01
1976,12,215.9,1976-12-01
1977,1,158.6,1977-01-01
1977,2,75.9,1977-02-01
1977,3,130.7,1977-03-01
1977,4,120.4,1977-04-01
1977,5,40.0,1977-05-01
1977,6,112.6,1977-06-01
1977,7,122.6,1977-07-01
1977,8,57.0,1977-08-01
1977,9,114.4,1977-09-01
1977,10,197.7,1977-10-01
1977,11,107.5,1977-11-01
1977,12,189.7,1977-12-01
1978,1,182.5,1978-01-01
1978,2,26.2,1978-02-01
1978,3,79.0,1978-03-01
1978,4,129.2,1978-04-01
1978,5,47.1,1978-05-01
1978,6,76.3,1978-06-01
1978,7,33.5,1978-07-01
1978,8,56.8,1978-08-01
1978,9,70.0,1978-09-01
1978,10,110.7,1978-10-01
1978,11,49.0,1978-11-01
1978,12,131.4,1978-12-01
1979,1,230.9,1979-01-01
1979,2,178.8,1979-02-01
1979,3,122.3,1979-03-01
1979,4,104.8,1979-04-01
1979,5,148.9,1979-05-01
1979,6,94.6,1979-06-01
1979,7,68.7,1979-07-01
1979,10,135.0,1979-10-01
1979,11,165.0,1979-11-01
1979,12,105.7,1979-12-01
1980,1,77.6,1980-01-01
1980,2,56.5,1980-02-01
1980,3,151.3,1980-03-01
1980,4,88.9,1980-04-01
1980,5,48.6,1980-05-01
1980,6,112.6,1980-06-01
1980,7,99.8,1980-07-01
1980,8,11.6,1980-08-01
1980,9,100.7,1980-09-01
1980,10,95.0,1980-10-01
1980,11,181.9,1980-11-01
1980,12,174.0,1980-12-01
1981,1,161.6,1981-01-01
1981,2,76.7,1981-02-01
1981,3,96.3,1981-03-01
1981,4,95.8,1981-04-01
1981,5,99.6,1981-05-01
1981,6,112.6,1981-06-01
1981,7,170.2,1981-07-01
1981,8,30.8,1981-08-01
1981,9,99.0,1981-09-01
1981,10,159.7,1981-10-01
1981,11,144.6,1981-11-01
1981,12,226.3,1981-12-01
1982,1,211.5,1982-01-01
1982,2,66.6,1982-02-01
1982,3,80.0,1982-03-01
1982,4,126.0,1982-04-01
1982,5,23.4,1982-05-01
1982,6,136.2,1982-06-01
1982,7,52.3,1982-07-01
1982,8,84.0,1982-08-01
1982,9,66.1,1982-09-01
1982,10,49.6,1982-10-01
1982,11,126.1,1982-11-01
1982,12,77.6,1982-12-01
1983,1,91.8,1983-01-01
1983,2,101.1,1983-02-01
1983,3,148.7,1983-03-01
1983,4,150.1,1983-04-01
1983,5,155.8,1983-05-01
1983,6,36.5,1983-06-01
1983,7,126.1,1983-07-01
1983,8,105.8,1983-08-01
1983,9,20.0,1983-09-01
1983,10,72.9,1983-10-01
1983,11,138.9,1983-11-01
1983,12,137.1,1983-12-01
1984,1,144.8,1984-01-01
1984,2,193.4,1984-02-01
1984,3,147.4,1984-03-01
1984,4,149.1,1984-04-01
1984,5,150.8,1984-05-01
1984,6,150.6,1984-06-01
1984,7,77.2,1984-07-01
1984,8,84.6,1984-08-01
1984,9,66.0,1984-09-01
1984,10,55.8,1984-10-01
1984,11,38.8,1984-11-01
1984,12,123.8,1984-12-01
1985,1,94.0,1985-01-01
1985,2,84.4,1985-02-01
1985,3,107.6,1985-03-01
1985,4,61.3,1985-04-01
1985,5,140.5,1985-05-01
1985,6,163.4,1985-06-01
1985,7,45.0,1985-07-01
1985,8,205.2,1985-08-01
1985,9,22.2,1985-09-01
1985,10,74.6,1985-10-01
1985,11,161.9,1985-11-01
1985,12,86.2,1985-12-01
1986,1,139.4,1986-01-01
1986,2,93.6,1986-02-01
1986,3,159.2,1986-03-01
1986,4,91.8,1986-04-01
1986,5,79.4,1986-05-01
1986,6,141.0,1986-06-01
1986,7,137.4,1986-07-01
1986,8,84.8,1986-08-01
1986,9,125.4,1986-09-01
1986,10,98.0,1986-10-01
1986,11,114.8,1986-11-01
1986,12,116.8,1986-12-01
1987,1,179.6,1987-01-01
1987,2,47.0,1987-02-01
1987,3,58.0,1987-03-01
1987,4,55.0,1987-04-01
1987,5,109.2,1987-05-01
1987,6,86.6,1987-06-01
1987,7,30.4,1987-07-01
1987,8,29.2,1987-08-01
1987,9,207.6,1987-09-01
1987,10,126.8,1987-10-01
1987,11,128.4,1987-11-01
1987,12,129.2,1987-12-01
1988,1,83.6,1988-01-01
1988,2,145.8,1988-02-01
1988,3,46.8,1988-03-01
1988,4,118.0,1988-04-01
1988,5,33.2,1988-05-01
1988,6,114.0,1988-06-01
1988,7,178.6,1988-07-01
1988,8,60.4,1988-08-01
1988,9,92.4,1988-09-01
1988,10,131.4,1988-10-01
1988,11,196.4,1988-11-01
1988,12,73.4,1988-12-01
1989,1,61.4,1989-01-01
1989,2,128.4,1989-02-01
1989,3,116.8,1989-03-01
1989,4,83.6,1989-04-01
1989,5,116.0,1989-05-01
1989,6,90.2,1989-06-01
1989,7,69.6,1989-07-01
1989,8,43.2,1989-08-01
1989,9,52.4,1989-09-01
1989,10,90.8,1989-10-01
1989,11,184.6,1989-11-01
1989,12,89.2,1989-12-01
1990,1,127.0,1990-01-01
1990,2,108.8,1990-02-01
1990,3,44.8,1990-03-01
1990,4,134.8,1990-04-01
1990,5,192.8,1990-05-01
1990,6,124.8,1990-06-01
1990,7,145.2,1990-07-01
1990,8,8.4,1990-08-01
1990,9,82.6,1990-09-01
1990,10,113.2,1990-10-01
1990,11,97.6,1990-11-01
1990,12,154.8,1990-12-01
1991,1,114.6,1991-01-01
1991,2,57.7,1991-02-01
1991,3,157.3,1991-03-01
1991,4,100.4,1991-04-01
1991,5,40.2,1991-05-01
1991,6,31.2,1991-06-01
1991,7,113.5,1991-07-01
1991,8,160.4,1991-08-01
1991,9,113.5,1991-09-01
1991,10,97.6,1991-10-01
1991,11,174.4,1991-11-01
1991,12,125.7,1991-12-01
1992,1,86.1,1992-01-01
1992,2,123.2,1992-02-01
1992,3,90.5,1992-03-01
1992,4,81.6,1992-04-01
1992,5,30.0,1992-05-01
1992,6,82.1,1992-06-01
1992,7,62.4,1992-07-01
1992,8,63.8,1992-08-01
1992,9,79.5,1992-09-01
1992,10,98.4,1992-10-01
1992,11,149.0,1992-11-01
1992,12,100.0,1992-12-01
1993,1,99.2,1993-01-01
1993,2,107.0,1993-02-01
1993,3,108.9,1993-03-01
1993,4,84.2,1993-04-01
1993,5,82.4,1993-05-01
1993,6,107.4,1993-06-01
1993,7,42.4,1993-07-01
1993,8,28.4,1993-08-01
1993,9,102.8,1993-09-01
1993,10,180.6,1993-10-01
1993,11,133.4,1993-11-01
1993,12,210.6,1993-12-01
1994,1,162.0,1994-01-01
1994,2,56.2,1994-02-01
1994,3,267.0,1994-03-01
1994,4,145.8,1994-04-01
1994,5,209.2,1994-05-01
1994,6,81.8,1994-06-01
1994,7,17.4,1994-07-01
1994,8,124.8,1994-08-01
1994,9,99.6,1994-09-01
1994,10,57.0,1994-10-01
1994,11,148.2,1994-11-01
1994,12,159.0,1994-12-01
1995,1,107.6,1995-01-01
1995,2,134.6,1995-02-01
1995,3,51.0,1995-03-01
1995,4,87.4,1995-04-01
1995,5,63.2,1995-05-01
1995,6,109.8,1995-06-01
1995,7,153.6,1995-07-01
1995,8,30.8,1995-08-01
1995,9,58.8,1995-09-01
1995,10,104.2,1995-10-01
1995,11,174.4,1995-11-01
1995,12,117.6,1995-12-01
1996,1,95.4,1996-01-01
1996,2,140.9,1996-02-01
1996,3,107.5,1996-03-01
1996,4,148.1,1996-04-01
1996,5,120.0,1996-05-01
1996,6,131.6,1996-06-01
1996,7,116.4,1996-07-01
1996,8,61.2,1996-08-01
1996,9,363.4,1996-09-01
1996,10,122.7,1996-10-01
1996,11,61.3,1996-11-01
1996,12,143.0,1996-12-01
1997,1,146.4,1997-01-01
1997,2,112.4,1997-02-01
1997,3,193.6,1997-03-01
1997,4,131.8,1997-04-01
1997,5,138.9,1997-05-01
1997,6,94.4,1997-06-01
1997,7,13.4,1997-07-01
1997,8,72.2,1997-08-01
1997,9,60.0,1997-09-01
1997,10,44.4,1997-10-01
1997,11,138.8,1997-11-01
1997,12,114.9,1997-12-01
1998,1,235.1,1998-01-01
1998,2,79.6,1998-02-01
1998,3,144.2,1998-03-01
1998,4,49.3,1998-04-01
1998,5,71.7,1998-05-01
1998,6,95.3,1998-06-01
1998,7,44.3,1998-07-01
1998,8,82.4,1998-08-01
1998,9,112.1,1998-09-01
1998,10,143.1,1998-10-01
1998,11,89.1,1998-11-01
1998,12,57.2,1998-12-01
1999,1,122.1,1999-01-01
1999,2,63.0,1999-02-01
1999,3,140.4,1999-03-01
1999,4,31.7,1999-04-01
1999,5,62.2,1999-05-01
1999,6,16.6,1999-06-01
1999,7,119.0,1999-07-01
1999,8,107.6,1999-08-01
1999,9,116.8,1999-09-01
1999,10,137.8,1999-10-01
1999,11,91.9,1999-11-01
1999,12,128.5,1999-12-01
2000,1,170.0,2000-01-01
2000,2,60.8,2000-02-01
2000,3,103.4,2000-03-01
2000,4,76.0,2000-04-01
2000,5,84.5,2000-05-01
2000,6,16.7,2000-06-01
2000,7,64.0,2000-07-01
2000,8,98.2,2000-08-01
2000,9,90.8,2000-09-01
2000,10,126.5,2000-10-01
2000,11,94.6,2000-11-01
2000,12,145.8,2000-12-01
2001,1,92.8,2001-01-01
2001,2,68.2,2001-02-01
2001,3,116.0,2001-03-01
2001,4,58.6,2001-04-01
2001,5,72.4,2001-05-01
2001,6,97.2,2001-06-01
2001,7,54.8,2001-07-01
2001,8,98.6,2001-08-01
2001,9,18.8,2001-09-01
2001,10,101.0,2001-10-01
2001,11,118.4,2001-11-01
2001,12,108.7,2001-12-01
2002,1,122.4,2002-01-01
2002,2,59.2,2002-02-01
2002,3,138.2,2002-03-01
2002,4,94.0,2002-04-01
2002,5,73.6,2002-05-01
2002,6,93.8,2002-06-01
2002,7,82.4,2002-07-01
2002,8,25.8,2002-08-01
2002,9,140.2,2002-09-01
2002,10,73.8,2002-10-01
2002,11,249.9,2002-11-01
2002,12,110.0,2002-12-01
2003,1,110.5,2003-01-01
2003,2,161.4,2003-02-01
2003,3,171.7,2003-03-01
2003,4,78.9,2003-04-01
2003,5,62.0,2003-05-01
2003,6,99.2,2003-06-01
2003,7,30.6,2003-07-01
2003,8,155.6,2003-08-01
2003,9,53.0,2003-09-01
2003,10,121.2,2003-10-01
2003,11,80.2,2003-11-01
2003,12,108.0,2003-12-01
2004,1,89.4,2004-01-01
2004,2,138.8,2004-02-01
2004,3,90.6,2004-03-01
2004,4,153.8,2004-04-01
2004,5,72.4,2004-05-01
2004,6,26.8,2004-06-01
2004,7,127.4,2004-07-01
2004,8,87.9,2004-08-01
2004,9,63.6,2004-09-01
2004,10,67.8,2004-10-01
2004,11,194.5,2004-11-01
2004,12,156.8,2004-12-01
2005,1,165.2,2005-01-01
2005,2,66.0,2005-02-01
2005,3,101.4,2005-03-01
2005,4,188.8,2005-04-01
2005,5,282.8,2005-05-01
2005,6,45.8,2005-06-01
2005,7,85.0,2005-07-01
2005,8,85.8,2005-08-01
2005,9,136.6,2005-09-01
2005,10,262.2,2005-10-01
2005,11,167.0,2005-11-01
2005,12,164.6,2005-12-01
2006,1,76.6,2006-01-01
2006,2,96.6,2006-02-01
2006,3,38.8,2006-03-01
2006,4,91.8,2006-04-01
2006,5,126.4,2006-05-01
2006,6,263.4,2006-06-01
2006,7,166.6,2006-07-01
2006,8,71.0,2006-08-01
2006,9,53.0,2006-09-01
2006,10,163.8,2006-10-01
2006,11,162.6,2006-11-01
2006,12,126.4,2006-12-01
2007,1,173.4,2007-01-01
2007,2,86.2,2007-02-01
2007,3,84.0,2007-03-01
2007,4,125.6,2007-04-01
2007,5,56.4,2007-05-01
2007,6,45.8,2007-06-01
2007,7,46.4,2007-07-01
2007,8,141.8,2007-08-01
2007,9,83.0,2007-09-01
2007,10,100.0,2007-10-01
2007,11,139.8,2007-11-01
2007,12,133.2,2007-12-01
2008,1,106.6,2008-01-01
2008,2,189.8,2008-02-01
2008,3,148.6,2008-03-01
2008,4,53.4,2008-04-01
2008,5,102.4,2008-05-01
2008,6,38.0,2008-06-01
2008,7,46.8,2008-07-01
2008,8,49.2,2008-08-01
2008,9,155.1,2008-09-01
2008,10,109.2,2008-10-01
2008,11,119.4,2008-11-01
2008,12,202.7,2008-12-01
2009,1,121.6,2009-01-01
2009,2,86.4,2009-02-01
2009,3,113.0,2009-03-01
2009,4,170.4,2009-04-01
2009,5,119.8,2009-05-01
2009,6,127.8,2009-06-01
2009,7,117.4,2009-07-01
2009,8,162.8,2009-08-01
2009,9,55.8,2009-09-01
2009,10,158.0,2009-10-01
2009,11,96.0,2009-11-01
2009,12,162.0,2009-12-01
2010,1,127.6,2010-01-01
2010,2,120.2,2010-02-01
2010,3,94.0,2010-03-01
2010,4,23.8,2010-04-01
2010,5,55.8,2010-05-01
2010,6,82.6,2010-06-01
2010,7,117.0,2010-07-01
2010,9,57.8,2010-09-01
2010,10,131.8,2010-10-01
2010,11,265.0,2010-11-01
2010,12,166.2,2010-12-01
2011,1,119.8,2011-01-01
2011,2,147.9,2011-02-01
2011,3,46.4,2011-03-01
