year,month,total_precip_mm,date
1969,7,111.8,1969-07-01
1969,8,44.7,1969-08-01
1969,9,55.6,1969-09-01
1969,10,98.0,1969-10-01
1969,11,163.6,1969-11-01
1969,12,179.6,1969-12-01
1970,1,38.9,1970-01-01
1970,2,73.7,1970-02-01
1970,3,115.3,1970-03-01
1970,4,61.0,1970-04-01
1970,5,84.1,1970-05-01
1970,6,114.3,1970-06-01
1970,7,91.4,1970-07-01
1970,8,153.4,1970-08-01
1970,9,125.0,1970-09-01
1970,10,117.6,1970-10-01
1970,11,106.4,1970-11-01
1970,12,193.0,1970-12-01
1971,1,93.2,1971-01-01
1971,2,157.7,1971-02-01
1971,3,141.0,1971-03-01
1971,4,87.1,1971-04-01
1971,5,206.8,1971-05-01
1971,6,57.7,1971-06-01
1971,7,104.4,1971-07-01
1971,8,311.7,1971-08-01
1971,9,52.6,1971-09-01
1971,10,67.3,1971-10-01
1971,11,168.9,1971-11-01
1971,12,95.3,1971-12-01
1972,1,159.8,1972-01-01
1972,2,138.4,1972-02-01
1972,3,228.1,1972-03-01
1972,4,120.4,1972-04-01
1972,5,163.6,1972-05-01
1972,6,115.3,1972-06-01
1972,7,82.8,1972-07-01
1972,8,71.1,1972-08-01
1972,9,39.4,1972-09-01
1972,10,188.2,1972-10-01
1972,11,224.8,1972-11-01
1972,12,191.8,1972-12-01
1973,1,111.0,1973-01-01
1973,2,135.6,1973-02-01
1973,3,118.9,1973-03-01
1973,4,134.6,1973-04-01
1973,5,101.6,1973-05-01
1973,6,123.2,1973-06-01
1973,7,161.5,1973-07-01
1973,8,99.8,1973-08-01
1973,9,24.1,1973-09-01
1973,10,111.8,1973-10-01
1973,11,65.3,1973-11-01
1973,12,125.2,1973-12-01
1974,1,102.1,1974-01-01
1974,2,177.0,1974-02-01
1974,3,100.8,1974-03-01
1974,4,96.8,1974-04-01
1974,5,102.9,1974-05-01
1974,6,90.2,1974-06-01
1974,7,97.3,1974-07-01
1974,8,80.8,1974-08-01
1974,9,113.8,1974-09-01
1974,10,95.5,1974-10-01
1974,11,130.6,1974-11-01
1974,12,91.9,1974-12-01
1975,1,181.4,1975-01-01
1975,2,59.7,1975-02-01
1975,3,143.0,1975-03-01
1975,4,86.6,1975-04-01
1975,5,66.0,1975-05-01
1975,6,65.3,1975-06-01
1975,7,36.1,1975-07-01
1975,8,47.0,1975-08-01
1975,9,73.2,1975-09-01
1975,10,176.8,1975-10-01
1975,11,117.6,1975-11-01
1975,12,225.0,1975-12-01
1976,1,130.3,1976-01-01
1976,2,128.3,1976-02-01
1976,3,91.2,1976-03-01
1976,4,87.6,1976-04-01
1976,5,130.8,1976-05-01
1976,6,65.5,1976-06-01
1976,7,145.3,1976-07-01
1976,8,115.8,1976-08-01
1976,9,101.6,1976-09-01
1976,10,152.9,1976-10-01
1976,11,94.5,1976-11-01
1976,12,180.1,1976-12-01
1977,1,107.4,1977-01-01
1977,2,95.6,1977-02-01
1977,3,96.6,1977-03-01
1977,4,80.5,1977-04-01
1977,5,72.6,1977-05-01
1977,6,131.3,1977-06-01
1977,7,168.1,1977-07-01
1977,8,49.3,1977-08-01
1977,9,126.2,1977-09-01
1977,10,141.9,1977-10-01
1977,11,82.2,1977-11-01
1977,12,212.4,1977-12-01
1978,1,225.8,1978-01-01
1978,2,38.4,1978-02-01
1978,3,84.9,1978-03-01
1978,4,157.0,1978-04-01
1978,5,59.7,1978-05-01
1978,6,100.4,1978-06-01
1978,7,54.9,1978-07-01
1978,8,24.5,1978-08-01
1978,9,89.2,1978-09-01
1978,10,103.7,1978-10-01
1978,11,36.9,1978-11-01
