COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
2.118,Newfoundland and Labrador,2021A000210,11020,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2016
2.119,Newfoundland and Labrador,2021A000210,107,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2016
2.119,Newfoundland and Labrador,2021A000210,249,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2020
2.119,Newfoundland and Labrador,2021A000210,262,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2017
2.119,Newfoundland and Labrador,2021A000210,264,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2015
2.119,Newfoundland and Labrador,2021A000210,332,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2018
2.119,Newfoundland and Labrador,2021A000210,408,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2023
2.119,Newfoundland and Labrador,2021A000210,415,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2022
2.119,Newfoundland and Labrador,2021A000210,560,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2019
2.119,Newfoundland and Labrador,2021A000210,615,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2021
2.119,Newfoundland and Labrador,2021A000210,739,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2014
2.119,Newfoundland and Labrador,2021A000210,765,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973418,2013
2.2,Newfoundland and Labrador,2021A000210,5467,"Total, industries",Kilotonnes,198,v1013973303,2021
2.2,Newfoundland and Labrador,2021A000210,5632,"Total, industries",Kilotonnes,198,v1013973303,2023
2.2,Newfoundland and Labrador,2021A000210,5666,"Total, industries",Kilotonnes,198,v1013973303,2022
2.2,Newfoundland and Labrador,2021A000210,6334,"Total, industries",Kilotonnes,198,v1013973303,2020
2.2,Newfoundland and Labrador,2021A000210,6843,"Total, industries",Kilotonnes,198,v1013973303,2013
2.2,Newfoundland and Labrador,2021A000210,7590,"Total, industries",Kilotonnes,198,v1013973303,2014
2.2,Newfoundland and Labrador,2021A000210,7912,"Total, industries",Kilotonnes,198,v1013973303,2018
2.2,Newfoundland and Labrador,2021A000210,7928,"Total, industries",Kilotonnes,198,v1013973303,2019
2.2,Newfoundland and Labrador,2021A000210,8029,"Total, industries",Kilotonnes,198,v1013973303,2017
2.2,Newfoundland and Labrador,2021A000210,8349,"Total, industries",Kilotonnes,198,v1013973303,2015
2.2,Newfoundland and Labrador,2021A000210,8537,"Total, industries",Kilotonnes,198,v1013973303,2016
3.1,Prince Edward Island,2021A000211,1499,"Total, industries and households",Kilotonnes,198,v1013973427,2015
3.1,Prince Edward Island,2021A000211,1533,"Total, industries and households",Kilotonnes,198,v1013973427,2023
3.1,Prince Edward Island,2021A000211,1552,"Total, industries and households",Kilotonnes,198,v1013973427,2014
3.1,Prince Edward Island,2021A000211,1574,"Total, industries and households",Kilotonnes,198,v1013973427,2013
3.1,Prince Edward Island,2021A000211,1583,"Total, industries and households",Kilotonnes,198,v1013973427,2022
3.1,Prince Edward Island,2021A000211,1590,"Total, industries and households",Kilotonnes,198,v1013973427,2016
3.1,Prince Edward Island,2021A000211,1599,"Total, industries and households",Kilotonnes,198,v1013973427,2020
3.1,Prince Edward Island,2021A000211,1608,"Total, industries and households",Kilotonnes,198,v1013973427,2021
3.1,Prince Edward Island,2021A000211,1622,"Total, industries and households",Kilotonnes,198,v1013973427,2018
3.1,Prince Edward Island,2021A000211,1635,"Total, industries and households",Kilotonnes,198,v1013973427,2017
3.1,Prince Edward Island,2021A000211,1656,"Total, industries and households",Kilotonnes,198,v1013973427,2019
3.115,Prince Edward Island,2021A000211,697,"Total, households",Kilotonnes,198,v1013973539,2021
3.115,Prince Edward Island,2021A000211,698,"Total, households",Kilotonnes,198,v1013973539,2023
3.115,Prince Edward Island,2021A000211,701,"Total, households",Kilotonnes,198,v1013973539,2022
3.115,Prince Edward Island,2021A000211,705,"Total, households",Kilotonnes,198,v1013973539,2015
3.115,Prince Edward Island,2021A000211,706,"Total, households",Kilotonnes,198,v1013973539,2020
3.115,Prince Edward Island,2021A000211,763,"Total, households",Kilotonnes,198,v1013973539,2016
3.115,Prince Edward Island,2021A000211,767,"Total, households",Kilotonnes,198,v1013973539,2014
3.115,Prince Edward Island,2021A000211,789,"Total, households",Kilotonnes,198,v1013973539,2018
3.115,Prince Edward Island,2021A000211,806,"Total, households",Kilotonnes,198,v1013973539,2019
3.115,Prince Edward Island,2021A000211,822,"Total, households",Kilotonnes,198,v1013973539,2017
3.115,Prince Edward Island,2021A000211,828,"Total, households",Kilotonnes,198,v1013973539,2013
3.118,Prince Edward Island,2021A000211,1548,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2015
