NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
070501,Thompson,MB,48 Thompson Drive N,55.74718857,-97.87352753,205,1HR,0,1739,12.7,2.8,3.3,2.9,3,2.1,3.2,4,3.6,1.6,1.8,1.2,3.5,26.99493915
080111,Regina,SK,1621 Albert St.,50.45270157,-104.6159973,585,1HR,0,27.7,0.2,0.1,0.3,0.3,0.6,0.4,0.3,0.3,0.3,0.1,0.1,0.1,0.3,0.490875852
080211,Saskatoon,SK,511 1st Avenue North,52.13613129,-106.6629333,483,1HR,0,3.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.171251629
080402,Prince Albert,SK,63 - 12th Street East,53.20169449,-105.7520294,436,1HR,0,23,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0.1,0.1,0.3,0.4,0.1,0.350429402
080502,Estevan,SK,528 1a Street,49.13235092,-102.984993,563,1HR,0,59.8,,,,,,,,,,2.4,,,,
081001,Swift Current,SK,1200 Begg St. W,50.28583145,-107.8168869,753,1HR,0,4.7,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.1,0.213548114
082002,Buffalo Narrows,SK,Buffalo Narrows Forest Protection Base,55.83456421,-108.4033356,425,1HR,0,4.5,0.3,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.2,0.248476531
090120,Edmonton,AB,6240 113 Street,53.50022125,-113.5260544,681,1HR,0,19,0.5,0.4,0.7,0.3,0.3,0.2,0.4,0.4,0.3,0.3,0.7,0.4,0.4,1.205340996
090121,Edmonton,AB,17 Street & 105 Avenue,53.54822922,-113.3681107,670,1HR,0,57,1.1,1.1,1.1,1.2,1.4,0.9,1.1,1.1,1,0.6,0.7,0.5,1,2.768662716
090133,Edmonton,AB,,53.56441116,-113.5625839,670,1HR,0,24,0.4,0.5,0.6,0.2,0.4,0.3,0.5,0.6,0.4,0.3,0.5,0.2,0.4,0.96529009
090134,Sherwood Park,AB,Ottwell House Park,53.53209305,-113.3209839,709,1HR,0,63,1.7,1.4,1.4,0.8,1.3,2.1,1.8,1.2,1.2,3.5,1.2,2.3,1.7,3.835679224
090135,Ardrossan,AB,,53.55469131,-113.1449051,707,1HR,0,31,1.3,1.2,0.6,0.2,0.5,0.5,0.7,0.6,0.7,0.7,1.1,1.6,0.8,2.082486928
090229,Calgary,AB,4700 110 Avenue Se,50.9551239,-113.9697418,1032,1HR,0,7,0.6,0.5,0.2,0.1,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.6,0.3,0.612009372
090302,Red Deer,AB,73 Street & Riverside Drive,52.29867172,-113.7935181,858,1HR,0,11,0.2,0.3,0.4,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.4,0.1,0.2,0.530723781
090304,Red Deer,AB,11 Lancaster Drive,52.24095154,-113.7654419,907,1HR,0,7,0.6,0.5,0.5,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.4,0.5,0.3,0.57919776
090502,Lethbridge,AB,,49.71620941,-112.8005981,918,1HR,0,8,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0.251965702
090601,Fort Saskatchewan,AB,9209a-96 Ave,53.6987381,-113.222847,628,1HR,0,27,0.5,0.4,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.988577502
090602,Fort Saskatchewan,AB,Rge Rd 220 & River Road,53.7523613,-113.1258926,625,1HR,0,8,,,,,,,,,,,,,,
090603,Fort Saskatchewan,AB,100 Ave East Of 109st.,53.71622086,-113.1999435,620,1HR,0,44,0.6,0.4,0.8,1.3,0.3,0.2,0.5,0.5,0.3,0.4,0.6,0.3,0.5,1.780543565
090607,Gibbons,AB,Behind 4807 50 Ave,53.82723999,-113.3271713,673,1HR,0,20,0.5,0.4,0.5,0.4,0.5,0.2,0.4,0.6,0.4,0.3,0.6,0.3,0.4,1.147192487
090608,Redwater,AB,4704-49 Ave,53.95183182,-113.1058578,627,1HR,0,11,,,,,,,,,,,0.6,0.2,,
090609,Bruderheim,AB,5321 48 Street,53.80562973,-112.9258499,630,1HR,0,46,1.6,1.1,0.5,0.2,0.3,0.3,0.6,0.5,0.5,0.6,1,1.4,0.7,1.658123799
090701,Fort Mcmurray,AB,Franklin Avenue,56.73340988,-111.3904724,260,1HR,0,40,0.7,0.6,0.9,0.2,0.6,0.7,0.3,0.3,0.5,0.4,0.4,0.4,0.5,1.56075968
090702,Fort Mcmurray,AB,Timberlea Subdivision,56.75138855,-111.4766235,355,1HR,0,48,1,0.9,1.1,0.7,0.6,0.7,0.4,0.3,0.4,0.4,0.6,0.6,0.7,2.117675595
090801,Fort Mackay,AB,Main Street,57.18941116,-111.6405029,268,1HR,0,87,1.1,1.5,2.1,1.5,1.2,0.6,0.6,0.9,0.7,0.7,0.4,0.6,1,3.537370207
090802,Fort Mackay,AB,Lower Camp,57.02680969,-111.5007019,247,1HR,0,145,2.9,3.2,2.1,2.5,3.9,2.7,2.6,4.7,2,3.2,2.2,0.8,2.7,8.387732221
090805,Fort Mackay,AB,Buffalo Viewpoint,56.99647141,-111.5929489,336,1HR,0,153,0.4,1.1,0.7,0.9,2.1,1.3,0.4,0.8,0.4,0.8,0.4,0.2,0.8,3.700760379
090806,Fort Mackay,AB,,57.14920044,-111.6424026,342,1HR,0,66,0.7,1.1,2,1.7,1.6,0.8,0.7,0.8,0.8,0.7,0.4,0.4,1,3.402617093
090807,Wapasu,AB,Located Oustide Approval Boundaries At Pti Camp,57.26176071,-111.0370026,429,1HR,0,44,3.1,1.3,0.4,0.6,0.3,0.5,0.6,1,0.5,0.6,0.8,2.5,1,2.817349747
090808,Conklin,AB,1-33-076-08 W4,55.62140656,-111.1726913,673,1HR,0,10,0.3,0.4,0.5,0.1,0.3,0.1,0,0.1,0.2,0.2,0.3,0.2,0.2,0.586736074
091101,Elk Island,AB,National Park,53.68238068,-112.8681183,714,1HR,0,21,1,0.5,0.3,0.1,0.3,0.2,0.3,0.3,0.2,0.3,0.7,0.7,0.4,1.169715648
091301,Tomahawk,AB,Se 2 51 6 W5,53.37255096,-114.7683487,789,1HR,0,42,0.5,0.3,1,0.9,0.4,0.2,0.4,0.1,0,0,0,0,0.3,1.324508269
091401,Violet Grove,AB,Se 17 48 08 W5,53.14221954,-115.1380615,1000,1HR,0,27,0.3,0.2,0.7,0.3,0.1,0.1,0.7,0,0,0,0,0,0.2,0.820592121
091501,Beaverlodge,AB,Beaverlodge Research Farm,55.19633865,-119.3968201,762,1HR,0,10,0.1,0.2,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0,0.2,0.1,0.2,0.558566985
091601,Carrot Creek,AB,Se 31 53 13 W5,53.62106323,-115.8691559,800,1HR,0,13,0.4,0.1,0.4,0.1,0.1,0,0.2,0,0,0,0,0,0.1,0.664984008
091701,Steeper,AB,Ne 12 48 22 W5,53.13249969,-117.0911102,1400,1HR,0,7,0,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0.288631853
091801,Fort Chipewyan,AB,Fort Chipewyan,58.70878983,-111.1768265,238,1HR,0,18,0.4,0,0.3,0.1,0.1,0,0,0,0.2,0.1,0.1,0.2,0.1,0.626187311
091901,Caroline,AB,16-30-034-5 W5,51.9468689,-114.6974411,1140,1HR,0,34,1.3,1.3,1.2,1,1,1,1.1,1.1,1,1.1,1.1,1.3,1.1,1.006990481
092001,Grande Prairie,AB,10327 - 107 Avenue,55.17660141,-118.8078003,658,1HR,0,12,0.1,0.2,0.2,0,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.3,0.2,0.523474434
092201,Lamont,AB,Rge Rd 203 & Twp Rd 550,53.76036072,-112.8801727,767,1HR,0,30,2.3,1.8,0.7,0.4,0.5,0.5,1.1,0.8,0.8,0.9,1.6,1.8,1.1,1.820543712
092601,Breton,AB,Hwy 20,53.09030151,-114.4606094,900,1HR,0,23,0.3,0.4,0.9,0.5,0.1,0.3,0.2,0.1,0,0,0,0,0.2,0.972131424
092901,Edson,AB,7 Ave,53.59377289,-116.3958206,894,1HR,0,9,0.4,0.3,0.5,0.1,0.2,0,0.2,0,0,0,0,0,0.2,0.549610864
093001,Grande Prairie,AB,,55.11719894,-118.7647018,645,1HR,0,12,0.1,0.2,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.467624588
093101,Genesee,AB,Range Road 15,53.30160141,-114.2210999,772,1HR,0,42,0.5,0.8,0.5,0.5,1.2,2,0.8,0.3,0.2,0.2,0.1,0.1,0.6,1.908252636
093202,Hinton,AB,Private Road,53.4272995,-117.5440674,1215,1HR,0,19,0.7,1,0.5,0.1,0.3,0.3,0.5,0,0,0.1,0.1,0.1,0.3,1.198370104
093801,Warbug,AB,Range Road 34,53.52999878,-114.6361008,753,1HR,0,37,0.5,0.5,1.2,0.6,0.8,0.8,0.5,0.1,0.1,0.1,0.2,0,0.4,1.715362388
093901,Thorsby,AB,Range Road 35,53.63299942,-114.419899,774,1HR,0,36,0.4,0.5,0.6,0.4,0.5,0.2,0.4,0.2,0.3,0.1,0.1,0,0.3,1.341573555
094001,Debolt,AB,Goodwin Road,55.40265656,-118.2809448,638,1HR,0,55,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.6,0.8,0.3,1.080547117
094202,Sunnybrook,AB,,53.42430115,-114.3749008,684,1HR,0,35,0.7,0.8,0.7,1.1,,2.1,0.9,0.6,0.4,0.4,0.1,0.3,0.7,2.255094695
094301,Cold Lake,AB,15 Ave,54.41401291,-110.2329407,556,1HR,0,3,0.2,0.3,,0,,0,0,0.1,0,0.1,0.2,0.3,0.1,0.371334961
094401,St Lina,AB,,54.21649933,-111.5026016,679,1HR,0,7,0.5,0.5,0.2,0.1,0.2,0,0.1,0.2,0.1,0.2,0.5,0.3,0.2,0.599573962
094601,Anzac,AB,264 Stony Mountain Rd.,56.44927979,-111.0372162,0,1HR,0,13,0.5,0.8,0.5,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.4,0.4,0.3,0.96396831
100110,Metro Van - Burnaby,BC,700 Hammarskjold Drive,49.27921295,-122.9707108,104,1HR,0,13.2,0.3,0.3,0.1,0.2,0.4,0.4,0.6,0.7,0.4,0.2,0.1,0.4,0.3,0.572862451
100111,Metro Van - Port Moody,BC,Moody & Esplanade St.,49.28089142,-122.8492889,6,1HR,0,10.6,0.2,0.3,0.2,0.3,0.6,0.5,0.6,0.7,0.6,0.3,0.1,0.3,0.4,0.694097304
100112,Metro Van - Vancouver,BC,Robson/Hornby,49.28227234,-123.1218796,32,1HR,0,8.8,0.7,0.6,0.7,0.5,0.3,0.3,0.5,0.7,0.6,0.5,0.5,0.6,0.5,0.623865776
100119,Metro Van - Burnaby,BC,5455 Rumble Street,49.21519089,-122.9856644,122,1HR,0,9.2,,0.3,0.2,0.1,0.3,0.4,0.6,0.7,0.5,0.4,0.2,0.3,0.4,0.509795929
100121,Metro Van - North Vancouver,BC,75 Riverside Dr.,49.30147171,-123.0204163,4,1HR,0,11.9,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.6,0.4,0.2,0.2,0.2,0.5,0.67787527
100128,Metro Van - Richmond,BC,10371 Aragon Rd,49.14143753,-123.1082153,4,1HR,0,9,0.6,0.2,0.1,0.1,0.3,0.2,0.5,0.4,0.3,0.3,0.3,0.4,0.3,0.447982996
100132,Metro Van - North Vancouver,BC,16th St. & Jones Ave,49.32399368,-123.0834961,71,1HR,0,4.9,0.2,0.4,0.2,0.2,0.5,0.4,0.5,0.6,,0.3,0.2,0.4,0.4,0.415154009
100134,Metro Van - Richmond,BC,3153 Templeton Street,49.18626404,-123.15242,1,1HR,0,7.5,0.3,0.2,0.1,0.1,0.4,0.5,0.6,0.6,0.5,0.5,0.2,0.5,0.4,0.487759244
100136,Metro Van - Burnaby,BC,Grosvenor Cresent,49.2878685,-122.9856262,200,1HR,0,123.4,0.9,1,0.5,0.4,0.5,0.5,0.7,1.1,0.9,1.4,0.3,2.7,0.9,3.880319685
100137,Metro Van - Burnaby,BC,Eton And Madison Ave Burnaby,49.28748322,-123.0079727,70,1HR,0,27.8,1.7,1.6,2.2,1.2,0.8,0.6,0.6,1,0.8,0.9,1.1,1,1.1,1.823803907
100140,Metro Van - Delta,BC,411 Milsom Wynd,49.00987625,-123.0820007,52,1HR,0,14.7,0.5,0.6,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.5,0.3,0.4,0.4,0.403947999
100141,Metro Van - Vancouver,BC,"1290 East 11th Ave,",49.26026535,-123.077774,29,1HR,0,5.3,,,,,,,0.5,0.7,0.4,0.5,0.4,0.6,,
100202,Prince George,BC,"Plaza 400, 1011 4th Avenue",53.91471863,-122.7419434,588,1HR,0,90,2.4,2.2,1.9,1.3,2,1.6,1.4,2.2,,,,,,
100210,Prince George,BC,,53.90333176,-122.7036133,733,1HR,0,220.8,4.8,4.5,3.9,3.8,2.7,2.7,3.3,5.6,4,2.4,4.1,2,3.6,9.730050989
100211,Prince George,BC,775 E Highway 16,53.90800858,-122.7133408,616,1HR,0,134.8,4.1,5.3,4.2,4.5,2.8,2.5,2.5,3.6,2.8,1.4,4.8,1.4,3.3,7.583912742
100212,Prince George,BC,"Marsulex Acid Plant, 8901 Penn Road",53.84159851,-122.7343979,604,1HR,0,28,1.9,2.1,1.2,1.2,1.1,0.8,0.7,1.3,0.7,0.4,1.2,1.5,1.2,2.185227802
100304,Victoria,BC,"Sj Willis School, 923 Topaz Ave.",48.44194031,-123.3631668,29,1HR,0,9.8,0.4,0.3,0.2,0.2,0.5,0.4,0.5,0.7,0.5,0.5,0.2,0.6,0.4,0.538045605
100308,Victoria,BC,3300 Wishart Road,48.4236908,-123.4943237,86,1HR,0,1.8,0.4,,,,,,,,,,,,,
