*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Annual Summary Report",""
"Pollutant: PM10",""
"Units: ug/m3",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"105504","Fort St. John","BC","10511 99 Avenue","56.2447319","-120.856102","679","1HR","0","3","6","10","16","22","33","47","69","90","227","652","91.62112933","11","14","","29","22","18","15","13","21","12","19","6","16","21.02666086","",""
"129003","Yellowknife","NT","52nd Ave & 49t Street, Sir John Franklin High School","62.45206833","-114.3639984","193","1HR","0","1","4","6","10","14","24","37","67","102","336","594","98.82741348","6","7","14","39","15","11","16","9","8","5","5","8","12","24.49652918","",""
"129102","Norman Wells","NT","#7 Forestry Road N. Wells","65.27925873","-126.8130569","60","1HR","0","2","4","7","13","23","47","74","111","148","333","744","95.16165756","5","8","13","18","28","29","44","25","14","11","8","13","18","32.3905658","",""
"129203","Inuvik","NT","Bompas Road (Block21, Lot 4084)","68.35701752","-133.7140503","30","1HR","0","1","6","10","19","26","39","52","70","89","157","360","94.75182149","8","4","7","22","22","25","26","26","26","17","6","8","17","18.92734144","",""
"129601","Fort Smith","NT","95 Conibear Crescent","60.00455093","-111.8932419","358","1HR","0","0","1","3","8","11","21","30","48","66","149","180","82.06967213","2","4","4","8","17","11","14","9","9","4","4","","8","13.91621517","",""
************8HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"070119","Winnipeg","MB","65 Ellen Street","49.89799118","-97.14653015","229","8HR","1","4","7","11","18","23","32","41","55","64","88","127","89.81102004","5","11","24","21","26","14","16","20","","11","11","6","15","13.09359495","",""
"070203","Brandon","MB","1430 Victoria Avenue East (Assiniboine Community College)","49.83917999","-99.92060089","385","8HR","0","2","5","8","14","19","26","36","46","55","90","134","83.48132969","4","5","13","14","21","18","","","15","11","13","6","","","",""
"070301","Flin Flon","MB","143 Main Street","54.76852036","-101.8774719","339","8HR","0","2","4","6","10","13","18","28","41","52","127","190","80.74908925","4","5","11","11","21","10","7","11","8","6","13","9","9","11.0384464","",""
"070501","Thompson","MB","48 Thompson Drive N","55.74718857","-97.87352753","205","8HR","0","2","4","5","8","11","17","23","34","45","68","72","99.39663024","7","9","12","14","13","9","7","5","7","4","5","5","8","8.157537004","",""
"080111","Regina","SK","1621 Albert St.","50.45270157","-104.6159973","585","8HR","1","8","12","17","25","33","45","57","77","94","170","198","52.85746812","","14","17","29","37","","","","","","25","13","","","",""
"100110","Metro Van - Burnaby","BC","700 Hammarskjold Drive","49.27921295","-122.9707108","104","8HR","1","3","5","6","8","9","10","11","13","14","17","18","99.36247723","5","5","5","8","7","7","8","9","7","5","5","5","6","2.604344544","",""
"100111","Metro Van - Port Moody","BC","Moody & Esplanade St.","49.28089142","-122.8492889","6","8HR","1","5","7","8","11","12","15","17","21","24","29","32","94.18260474","8","7","6","10","9","8","","16","12","9","8","8","9","4.260233686","",""
"100119","Metro Van - Burnaby","BC","5455 Rumble Street","49.21519089","-122.9856644","122","8HR","1","5","6","8","10","11","14","16","19","21","33","65","94.01183971","7","7","6","10","10","9","10","12","10","8","7","8","9","4.062353994","",""
"100134","Metro Van - Richmond","BC","3153 Templeton Street","49.18626404","-123.15242","1","8HR","1","6","8","9","12","13","16","19","23","26","34","42","98.94125683","9","9","9","12","13","10","10","12","11","9","9","10","10","4.630759398","",""
"100137","Metro Van - Burnaby","BC","Eton And Madison Ave Burnaby","49.28748322","-123.0079727","70","8HR","1","5","7","9","11","13","16","19","22","25","30","33","87.43169399","8","8","7","","12","11","11","14","13","8","7","7","10","4.802324178","",""
"100202","Prince George","BC","Plaza 400, 1011 4th Avenue","53.91471863","-122.7419434","588","8HR","1","5","9","12","18","22","31","43","58","72","98","127","91.50728597","13","18","24","21","18","13","12","14","13","","15","15","16","13.32884405","",""
"100701","Kelowna","BC","3333 College Way","49.86233521","-119.4773636","347","8HR","2","6","8","10","14","17","21","27","35","42","62","85","98.22404372","11","17","16","16","10","10","10","13","10","12","16","9","12","7.702637924","",""
"101003","Metro Van - Abbotsford","BC","32995 Bevan Ave.","49.04257965","-122.3098221","58","8HR","1","5","7","9","12","13","16","19","21","23","31","35","78.43806922","","7","7","11","12","10","9","13","11","9","8","9","10","4.574316099","",""
"101005","Metro Van - Abbotsford","BC","1073 Columbia Street","49.02155304","-122.3265228","65","8HR","0","5","8","11","15","17","23","30","40","48","69","77","86.57786885","10","10","10","15","","12","11","19","17","14","8","11","13","8.87026955","",""
"101101","Metro Van-Chilliwack","BC","46360 Airport Road","49.15584946","-121.9402771","12","8HR","1","5","7","10","12","14","18","20","24","26","33","38","99.87477231","9","7","8","13","12","11","12","15","12","10","7","10","10","5.046835863","",""
"101301","Metro Van-Langley","BC","23752 52nd Avenue","49.09561157","-122.5671005","88","8HR","1","5","7","8","11","12","14","17","21","24","40","47","95.92440801","7","7","7","14","11","9","9","12","9","9","7","7","9","4.394056821","",""
"101401","Metro Van-Hope","BC","62715 Airport Road","49.36988831","-121.4991226","40","8HR","2","4","6","8","10","12","15","17","20","22","43","53","84.84744991","6","6","6","11","10","10","11","13","","","7","7","9","4.470681078","",""
