*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DMAX8HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: O3 ",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"Daily Max 8hr is valid if at least 18 hours in day have valid running 8-hour average",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily max 8-hr average",""
"Annual average and standard deviation are reported if 50% of days have daily max 8-hr average and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"041501","Edmundston","NB","19 Queen St.","47.36319351","-68.32230377","159","1HR","0","14","22","26","30","32","33","34","36","36","38","39","12.15753425","","","","","","","","","","","","26","","","",""
"050103","Montréal","QC","1050 A, Boul. Saint-Jean-Baptiste","45.64102554","-73.49967957","19","1HR","0","10","18","24","30","33","38","42","47","52","62","64","98.24200913","23","28","30","30","28","27","23","22","20","18","17","21","24","10.88476839","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.5026474","-73.66390991","41","1HR","0","5","14","20","25","29","33","37","41","45","58","59","98.77853881","18","21","24","26","24","23","19","19","16","15","14","15","20","10.49080236","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.54746246","-73.7483139","35","1HR","0","10","19","26","32","35","40","44","50","55","65","68","99.53196347","25","28","31","31","29","29","25","25","23","21","19","22","26","11.52892799","",""
"050119","Longueuil","QC","Face Au 1819 Rue Victoria","45.52207184","-73.48809814","32","1HR","0","11","20","26","32","35","40","45","51","55","69","74","95.12557078","23","28","30","31","29","29","26","26","23","21","20","22","26","11.41382981","",""
"050122","Brossard","QC","En Face Du 8400 Avenue Sorbonne","45.4486618","-73.4808197","17","1HR","1","13","22","28","33","36","41","45","51","56","67","69","95.19406393","26","31","32","33","31","30","27","25","25","24","22","24","27","11.03955144","",""
"050126","Montréal","QC","20965 Ch. Sainte-Marie","45.42654037","-73.92893219","39","1HR","0","11","20","26","31","34","39","42","47","49","59","63","77.34018265","24","30","31","30","","","24","25","24","21","21","24","","","",""
"050128","Montréal","QC","90-A Rue Herve-Saint-Martin, Dorval","45.46832275","-73.74119568","33","1HR","0","8","18","24","29","33","38","42","47","51","61","65","97.94520548","21","26","28","28","27","27","23","23","22","20","18","19","24","11.32054783","",""
"050129","Montréal","QC","12400 Wilfrid-Ouellette (R-D-P)","45.65169144","-73.57382202","29","1HR","0","11","19","25","30","33","38","42","48","54","64","73","98.40182648","23","28","31","30","28","28","25","24","22","20","18","23","25","10.63454407","",""
"050134","Montréal","QC","2580 Saint-Joseph Est","45.54270935","-73.57176208","53","1HR","0","10","18","24","30","33","38","42","47","52","63","65","98.91552511","22","26","29","30","27","27","24","24","22","19","18","20","24","10.81456445","",""
"050135","Montréal","QC","4240 Rue Charleroi","45.59339905","-73.63726044","41","1HR","0","9","17","23","29","32","37","41","47","52","62","71","98.97260274","22","25","28","28","27","26","23","24","21","19","17","20","23","10.71931237","",""
"050136","Montréal","QC","75 Rue Ontario Est","45.51218796","-73.56684113","32","1HR","0","10","18","24","29","33","37","41","47","52","64","66","89.02968037","20","25","27","28","27","28","24","23","23","20","","18","24","10.63327961","",""
"050137","Terrebonne","QC","Rues Vaillant Et De Grand-Champ","45.70476151","-73.65776062","34","1HR","1","12","20","27","32","36","41","45","51","57","68","85","99.00684932","26","32","34","32","30","29","24","25","22","21","20","24","27","11.3103004","",""
"050138","Montréal","QC","1540 Roberval","45.46461105","-73.58258057","25","1HR","0","7","16","22","27","31","36","41","46","49","61","64","99.22374429","20","23","24","26","25","26","22","22","20","18","17","18","22","11.02630498","",""
"050204","Gatineau","QC","255 St-Redempteur, Hull","45.43598557","-75.72342682","62","1HR","0","11","20","26","32","35","40","44","50","55","66","76","99.22374429","23","29","34","31","30","28","24","24","22","22","21","24","26","11.19203515","",""
"050308","Quebec","QC","600 Rue Des Sables","46.82117844","-71.22049713","8","1HR","1","8","17","24","30","33","37","40","44","46","63","65","97.60273973","24","27","33","31","25","23","21","20","18","16","19","24","23","10.94181141","",""
"050310","Quebec","QC","1150 Boul. Rene-Levesque O.","46.79487228","-71.24638367","69","1HR","0","10","19","26","32","35","39","42","45","48","64","66","99.7716895","26","30","35","35","29","26","22","20","19","18","20","24","25","10.97959913","",""
"050311","Quebec","QC","1465, Rue Felix-Antoine-Savard","46.77416611","-71.36972046","26","1HR","0","8","18","25","31","35","39","42","45","47","64","66","98.17351598","27","31","35","33","26","22","19","19","18","16","20","25","24","11.5015986","",""
"050404","Sherbrooke","QC","655, Rue Papineau","45.41231155","-71.87460327","211","1HR","1","14","23","29","33","37","41","45","50","55","65","68","99.06392694","30","33","35","35","31","29","24","24","21","25","24","26","28","10.63493141","",""
"050504","Saguenay","QC","789 Boul Des Etudiants, Chicoutimi","48.41637421","-71.05241394","82","1HR","0","12","20","27","33","35","39","42","44","46","50","60","98.61872146","30","32","34","35","28","24","20","19","15","20","27","28","26","10.2759519","",""
"050604","Rouyn-Noranda","QC","1570 Rue Paradis","48.2340889","-78.98278046","289","1HR","0","14","23","29","34","36","40","44","47","50","55","62","99.543379","31","33","38","38","29","27","21","20","21","25","27","29","28","10.11234384","",""
"050803","Trois Rivières","QC","Rue Whitehead","46.35717392","-72.54618835","12","1HR","0","11","19","26","31","35","39","43","47","50","64","71","99.8630137","25","30","35","33","28","26","21","21","20","19","20","25","25","10.9886973","",""
"051501","St. Zephirin-De-Courval","QC","701 Rang Saint-Michel","46.04223251","-72.65975952","50","1HR","0","13","21","27","33","36","41","45","49","54","66","75","99.20091324","30","36","38","34","29","26","21","22","21","21","22","27","27","11.03368735","",""
"052001","Charette","QC","Au Nord Du 170 2e Rang","46.4416008","-72.89241028","114","1HR","0","8","18","25","31","34","39","42","46","49","59","70","98.61872146","30","34","37","33","28","21","17","16","16","16","20","25","24","11.34252071","",""
"052201","Saint-Simon","QC","Derriere Le 83, 4e Rang Est","45.71561432","-72.84024811","38","1HR","0","10","18","24","30","33","38","42","47","53","65","68","78.65296804","32","","","30","28","26","22","21","20","21","21","24","","","",""
"052301","Saint-Faustin-Lac-Carre","QC","4507 Chemin Du Lac (Caribou)","46.03499985","-74.48082733","413","1HR","2","17","25","30","35","38","42","46","51","54","63","71","97.85388128","33","37","40","37","33","26","23","23","24","26","28","31","30","9.909924619","",""
"052401","La Peche","QC","Lac Philippe - Masham","45.6223793","-76.01804352","191","1HR","0","10","21","28","33","36","41","45","50","54","65","71","94.94292237","28","33","38","35","31","25","20","19","16","23","24","27","27","11.92589255","",""
"052801","Auclair","QC","66 Rang St-Gregoire Nord","47.73332977","-68.70722198","301","1HR","1","17","24","30","35","37","41","43","46","48","60","68","96.34703196","34","37","38","35","32","25","23","22","20","24","28","32","29","9.199746268","",""
"053201","La Dore","QC","Route 167- La Dore","48.80971909","-72.7388916","222","1HR","0","14","22","29","34","37","41","44","46","48","53","60","99.37214612","32","35","38","38","28","24","21","19","17","23","28","30","28","10.3451775","",""
"053301","Deschambault","QC","334, 3 E Rang - Deshambault","46.68237305","-71.96590424","48","1HR","0","6","18","26","32","36","40","43","47","50","66","71","97.48858447","28","33","37","33","26","22","18","17","15","16","21","27","25","12.45024145","",""
"053501","Saint-François","QC","Face Au 198,  Royale Île D'orléans","47.01530838","-70.86252594","59","1HR","0","15","23","29","34","37","40","43","46","49","65","67","97.5","32","36","37","37","29","26","23","22","22","22","25","31","28","9.563461724","",""
"053601","Notre-Dame-Du-Rosaire","QC","Rang St-Louis","46.8488884","-70.45417786","411","1HR","1","13","23","29","34","37","41","44","47","49","63","67","96.46118721","33","38","38","36","29","24","20","20","20","23","25","30","28","10.57873364","",""
"053701","St-Hilaire-De-Dorset","QC","Rang Dorset","45.82485962","-70.8560257","497","1HR","8","21","28","33","38","40","44","47","51","57","66","70","97.65981735","36","39","40","40","36","32","28","27","28","30","30","32","33","8.86647085","",""
"053801","Tingwick","QC","Chemin Du Radar Et Warwick","45.90578461","-71.94869232","243","1HR","5","20","27","31","36","39","43","47","51","54","67","73","96.96347032","33","38","39","37","34","31","28","27","27","29","27","29","31","9.052544407","",""
"053901","Lac-Edouard","QC","Derriere L'hopital Village","47.64722061","-72.29055786","366","1HR","0","7","18","25","32","35","39","42","46","48","60","65","98.81278539","29","32","35","32","26","23","17","16","15","17","24","27","24","11.88704628","",""
"054102","Sutton","QC","Mont Sutton/Round Top Ridge","45.0886116","-72.55693817","845","1HR","12","30","35","38","41","43","47","49","52","54","58","59","26.82648402","34","39","40","","","","","","","","","","","","",""
"054201","Chapais","QC","Chapais","49.82228088","-74.97640228","381","1HR","1","14","24","30","35","38","41","44","46","48","51","52","83.19634703","33","35","38","39","28","25","21","18","18","","","32","","","",""
"054401","Saint-Anicet","QC","1128 De La Guerre","45.12062454","-74.28959656","50","1HR","0","13","23","29","34","38","42","46","53","57","65","68","95.86757991","29","34","36","35","31","30","25","24","23","25","23","26","28","11.31408478","",""
"054501","L'assomption","QC","801 St-Etienne/Route 344","45.80942154","-73.43473053","10","1HR","1","17","26","31","36","39","43","46","52","58","63","66","49.06392694","27","32","36","33","29","28","","","","","","","","","",""
"054901","Ditton","QC","Chemin Du Petit-Canada Ouest","45.37332916","-71.25016785","475","1HR","2","15","25","30","35","38","42","46","50","54","63","68","96.87214612","33","38","38","37","33","27","22","22","20","28","28","30","30","10.56379032","",""
"055001","Mont Saint-Michel","QC","215 4 Ieme Rang De Gravel","46.7686615","-75.43273163","256","1HR","0","6","19","26","32","35","40","43","47","50","58","61","99.26940639","31","35","38","34","26","20","15","14","14","20","23","28","25","12.34528861","",""
"055101","Senneterre","QC","Chemin Riviere Bell","48.43164825","-77.19667053","299","1HR","0","11","21","28","34","36","40","43","46","48","56","60","99.52054795","31","33","37","37","27","24","19","16","18","24","27","29","27","10.90699598","",""
"055301","Saint-Jean-Sur-Richelieu","QC","Ferme Exp., 1134 Route 219","45.29412842","-73.34857178","35","1HR","0","13","22","28","33","36","40","44","49","54","65","68","99.48630137","28","34","36","33","29","29","24","23","21","23","21","25","27","10.79150892","",""
"055502","Frelighsburg","QC","Frelighsburg","45.05006027","-72.86161041","235","1HR","5","20","27","32","37","39","44","47","52","56","62","67","97.8196347","33","38","40","39","34","32","28","28","27","30","27","30","32","9.288876989","",""
"055601","Mingan","QC","Mingan","50.27135849","-64.22650146","14","1HR","4","30","36","39","42","44","45","46","47","48","49","50","33.25342466","35","39","40","39","","","","","","","","","","","",""
"055702","Levis","QC","200 Rue Des Commandeurs","46.80603027","-71.16750336","106","1HR","1","13","21","27","33","36","39","42","45","48","62","65","98.66438356","27","32","36","36","30","26","22","22","21","20","22","27","27","10.11822217","",""
"060104","Ottawa","ON","Rideau & Wurtemburg","45.43432999","-75.6760025","68","1HR","1","12","20","26","31","34","39","43","48","53","63","71","99.12100457","22","28","33","32","30","28","24","24","22","22","20","23","25","10.57823842","",""
"060106","Ottawa","ON","960 Carling Ave (Cow Lane)","45.38286972","-75.71386719","79","1HR","0","11","21","27","32","35","40","44","50","54","64","76","99.25799087","22","30","34","32","31","28","24","24","22","22","21","24","26","11.17757039","",""
"060204","Windsor","ON","467 University Ave. West","42.31577682","-83.04367065","176","1HR","0","9","20","27","34","38","45","52","58","63","72","78","98.81278539","17","24","30","34","35","36","35","32","27","23","18","17","27","13.74530643","",""
"060211","Windsor","ON","College & South St. / 928 South St.","42.29288864","-83.07313538","180","1HR","0","8","19","27","34","38","45","51","59","63","73","82","99.40639269","18","24","30","33","34","36","33","31","26","23","18","18","27","13.97631428","",""
"060304","Kingston","ON","Near 23 Beechgrove Lane","44.21987152","-76.52113342","84","1HR","1","16","25","30","36","39","44","49","56","60","71","94","98.74429224","27","33","37","35","33","35","30","31","25","29","25","25","30","11.22994213","",""
"060410","Toronto","ON","Lawrence & Kennedy","43.74792099","-79.27406311","168","1HR","1","7","18","25","31","34","39","44","52","57","68","82","99.21232877","19","24","31","31","29","29","25","25","22","21","18","18","24","12.28243711","",""
"060430","Toronto","ON","125 Resources Road","43.70944214","-79.54350281","141","1HR","0","4","14","22","29","33","39","44","52","57","72","82","99.02968037","16","21","27","29","26","28","24","23","21","19","16","15","22","13.17363777","",""
"060433","Toronto","ON","Bay/Wellesey St.","43.66416931","-79.38722229","105","1HR","1","10","19","26","31","35","40","45","52","57","72","85","99.24657534","19","25","29","32","30","31","28","28","25","23","19","18","26","11.82001376","",""
"060434","Mississauga","ON","3359 Mississauga Road","43.54697037","-79.65869141","105","1HR","0","6","19","27","33","37","42","47","55","60","72","78","99.31506849","22","28","33","34","31","32","26","26","21","21","20","21","26","13.49663279","",""
"060435","Toronto","ON","461 Kipling Avenue","43.61075974","-79.52194214","92","1HR","-1","5","15","23","29","32","37","42","50","56","70","75","98.18493151","17","22","26","27","26","28","25","24","21","19","16","17","22","12.50974377","",""
"060438","Toronto","ON","401w - 125 Resources Rd.","43.71110535","-79.54342651","139","1HR","0","3","11","18","26","31","38","43","52","56","73","81","98.84703196","14","19","26","27","24","25","21","20","18","16","13","12","20","13.36562101","",""
"060440","Toronto","ON","4905 Dufferin Street","43.7804184","-79.46752167","","1HR","0","6","17","24","30","34","40","45","54","59","73","82","99.52054795","18","24","30","31","29","30","25","25","22","20","15","18","24","13.02095269","",""
