*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-04-04"
"",""
"Annual Summary Report",""
"Pollutant: SO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"061007","Sarnia","ON","1300 Tashmoo Ave./ Lasalle Line","42.91254425","-82.41681671","180","1HR","0","0.1","0.2","0.4","0.8","1.5","3.8","7.9","15.7","25.6","54.1","82.6","99.66894977","0.9","1","1.9","2.2","2.7","3.4","3.4","1.4","1.1","0.9","0.9","1.2","1.8","4.919840501","",""
"061009","Sarnia","ON","700 Christina St. N.","42.99026489","-82.39533997","182","1HR","-0.1","0","0.1","0.3","0.6","1.1","3.7","11.1","23.3","32.9","57.7","69.4","99.28082192","0.9","2.5","1.9","1.5","1.3","1.8","2.7","1.3","2.7","1.7","2.2","2.8","1.9","5.901555589","",""
"062601","Simcoe","ON","Experimental Farm","42.85684967","-80.26963806","236","1HR","-0.6","-0.4","0","0.3","0.4","0.5","0.6","0.8","1.6","2.7","7.3","13.9","98.68721461","-0.3","-0.2","-0.1","0.1","0.3","0.6","0.5","0.6","0.6","0.5","0.3","0.3","0.3","0.646035544","",""
"067001","Milton","ON","1120 Main St East","43.52965164","-79.86244965","206","1HR","0.1","0.5","0.7","0.9","1","1.3","2","3","4.4","5.6","10.6","14.9","52.99086758","1","0.9","1.3","1.4","1.2","1.3","","","","","","0.9","","","",""
"070301","Flin Flon","MB","143 Main Street","54.76852036","-101.8774719","339","1HR","0","0","0","0","0.1","0.2","0.2","0.3","0.5","0.7","1.3","2.3","94.20091324","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.2","0.2","0.1","0.138752799","",""
"080111","Regina","SK","1621 Albert St.","50.45270157","-104.6159973","585","1HR","0","0.1","0.1","0.2","0.3","0.4","0.8","1.4","2.6","4.1","13.7","23.9","98.29908676","0.8","1","0.3","0.3","0.5","0.4","0.4","0.3","0.2","0.2","0.1","0.2","0.4","0.903816497","",""
"080211","Saskatoon","SK","511 1st Avenue North","52.13613129","-106.6629333","483","1HR","0","0","0","0","0.1","0.1","0.1","0.1","0.2","0.3","0.5","1","98.45890411","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0.1","0.05231445","",""
"080402","Prince Albert","SK","63 - 12th Street East","53.20169449","-105.7520294","436","1HR","0","0","0.1","0.1","0.2","0.2","0.3","0.4","0.6","0.8","2.4","5.3","99.56621005","0.2","0.3","0.2","0.1","0.2","0.2","0.2","0.1","0","0.1","0.2","0.1","0.2","0.185176625","",""
"080502","Estevan","SK","528 1a Street","49.13235092","-102.984993","563","1HR","0","0.1","0.2","0.3","0.6","0.9","1.7","3.6","8.8","15.5","82.1","145.7","99.46347032","1.5","1.9","1.2","0.5","0.9","1","0.8","0.6","0.6","1.7","0.6","2.1","1.1","4.741594287","",""
"081001","Swift Current","SK","1200 Begg St. W","50.28583145","-107.8168869","753","1HR","0","0.1","0.1","0.1","0.1","0.2","0.3","0.6","1.1","1.5","3.7","21.2","98.77853881","0.2","0.7","0.3","0.1","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.3805248","",""
