NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
50116,MONTRÉAL - VERDUN,MONTRÉAL,QUEBEC,QC,45.4729,-73.573,0,1978-03-10,2015-03-06
50117,MONTRÉAL - 7405 CHAMPAGNEUR,MONTRÉAL,QUEBEC,QC,45.52749,-73.62646,0,1984-01-04,1993-01-31
50118,MONTRÉAL - 820 ST. GERMAIN,MONTRÉAL,QUEBEC,QC,45.51259,-73.67792,0,1984-01-01,1992-12-21
50119,LONGUEUIL,LONGUEUIL,QUEBEC,QC,45.52207,-73.4881,1,1984-01-01,
50120,MONTRÉAL - ROXBORO,MONTRÉAL,QUEBEC,QC,45.49444,-73.80778,0,1988-01-01,1996-12-31
50121,BROSSARD - PARC OCÉANIE,LONGUEUIL,QUEBEC,QC,45.44298,-73.468631,0,1993-04-05,2016-01-26
50122,BROSSARD - PARC SORBONNE,BROSSARD,QUEBEC,QC,45.448663,-73.480819,1,2016-01-28,
50123,MONTRÉAL - DORVAL,MONTRÉAL,QUEBEC,QC,45.439119,-73.7333,0,1995-01-01,2000-02-03
50124,MONTRÉAL - CHATEAUNEUF-ANJOU,MONTRÉAL,QUEBEC,QC,45.602846,-73.558874,1,1997-01-28,
50125,MONTRÉAL - CENTRE RÉCRÉATIF EDOUARD RIVEST,MONTRÉAL,QUEBEC,QC,45.62866,-73.5003,0,1996-05-27,2009-01-01
50126,MONTRÉAL - SAINTE-ANNE DE BELLEVUE,MONTRÉAL,QUEBEC,QC,45.426542,-73.928929,1,1997-10-08,
50128,MONTRÉAL - AÉROPORT DE MONTRÉAL - 1,MONTRÉAL,QUEBEC,QC,45.468322,-73.741198,1,1998-01-01,
50129,MONTRÉAL - RIVIÈRE-DES-PRAIRIES,MONTRÉAL,QUEBEC,QC,45.651691,-73.573825,1,1998-12-04,
50130,MONTRÉAL - AÉROPORT DE MONTRÉAL - 2,MONTRÉAL,QUEBEC,QC,45.45578,-73.76692,0,1998-10-01,1999-10-22
50131,MONTRÉAL - HOCHELAGA-MAISONNEUVE,MONTRÉAL,QUEBEC,QC,45.539928,-73.540388,1,2001-04-05,
50133,MONTRÉAL - CHENIER,MONTRÉAL,QUEBEC,QC,45.60176,-73.541992,0,2007-12-21,2018-12-31
50134,MONTRÉAL - MOLSON ,MONTRÉAL,QUEBEC,QC,45.54271,-73.57176,1,2008-09-28,
50135,MONTRÉAL-CASERNE 17,MONTRÉAL,QUEBEC,QC,45.5934,-73.63726,1,2013-04-12,
