REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,1,,,,0
2020,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,1,,,,0
2021,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,1,,,,0
2022,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,,..,,,0
2022,Manitoba,2021A000246,Computer and electronic product manufacturing [BS33400],Kilotonnes,198,units,0,v1796472279,8.135,2,,,,0
2023,Manitoba,2021A000246,Computer and electronic product manufacturing [BS33400],Kilotonnes,198,units,0,v1796472279,8.135,2,,,,0
2013,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,4,,,,0
2014,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,5,,,,0
2015,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,9,,,,0
2016,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,3,,,,0
2017,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,6,,,,0
2018,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,5,,,,0
2019,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,6,,,,0
2020,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,5,,,,0
2021,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,4,,,,0
2022,Manitoba,2021A000246,Electrical  equipment and component manufacturing [BS335A0],Kilotonnes,198,units,0,v1013974104,8.55,,..,,,0
2013,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2014,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2015,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2016,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2017,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2018,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2019,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2020,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2021,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,0s,,,0
2022,Manitoba,2021A000246,Household appliance manufacturing [BS33520],Kilotonnes,198,units,0,v1013974105,8.56,,..,,,0
2022,Manitoba,2021A000246,"Electrical equipment, appliance and component manufacturing [BS33500]",Kilotonnes,198,units,0,v1796472280,8.136,5,,,,0
2023,Manitoba,2021A000246,"Electrical equipment, appliance and component manufacturing [BS33500]",Kilotonnes,198,units,0,v1796472280,8.136,5,,,,0
2013,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,22,,,,0
2014,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,22,,,,0
2015,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,37,,,,0
2016,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,50,,,,0
2017,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,38,,,,0
2018,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,23,,,,0
2019,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,25,,,,0
2020,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,16,,,,0
2021,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,12,,,,0
2022,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,10,,,,0
2023,Manitoba,2021A000246,Motor vehicle manufacturing [BS33610],Kilotonnes,198,units,0,v1013974106,8.57,10,,,,0
2013,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,13,,,,0
2014,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,7,,,,0
2015,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,11,,,,0
2016,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,15,,,,0
2017,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,21,,,,0
2018,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,6,,,,0
