"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1533","","","","0"
"2013","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","746","","","","0"
"2014","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","786","","","","0"
"2015","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","795","","","","0"
"2016","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","827","","","","0"
"2017","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","814","","","","0"
"2018","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","833","","","","0"
"2019","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","850","","","","0"
"2020","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","893","","","","0"
"2021","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","911","","","","0"
"2022","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","882","","","","0"
"2023","Prince Edward Island","2021A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","835","","","","0"
"2013","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","828","","","","0"
"2014","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","767","","","","0"
"2015","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","705","","","","0"
"2016","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","763","","","","0"
"2017","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","822","","","","0"
