station_id,Month,Day,Baseline Mean Temp (°C)
8202318,5,31,10.312903225806451
8202318,6,1,10.139999999999999
8202318,6,2,10.612903225806452
8202318,6,3,10.067741935483872
8202318,6,4,10.036666666666667
8202318,6,5,9.736666666666668
8202318,6,6,10.01
8202318,6,7,10.346666666666666
8202318,6,8,10.306666666666667
8202318,6,9,10.961290322580645
8202318,6,10,10.866666666666667
8202318,6,11,11.283870967741937
8202318,6,12,11.680645161290323
8202318,6,13,11.97741935483871
8202318,6,14,11.148387096774194
8202318,6,15,11.246666666666666
8202318,6,16,12.196666666666665
8202318,6,17,12.639999999999999
8202318,6,18,12.932258064516128
8202318,6,19,13.366666666666667
8202318,6,20,13.520000000000001
8202318,6,21,13.75
8202318,6,22,14.043333333333333
8202318,6,23,14.062068965517241
8202318,6,24,14.26551724137931
8202318,6,25,14.966666666666667
8202318,6,26,14.423333333333334
8202318,6,27,14.643333333333334
8202318,6,28,14.693333333333333
8202318,6,29,14.836666666666668
8202318,6,30,14.78
8202318,7,1,15.633333333333333
8202318,7,2,14.963333333333333
8202318,7,3,15.373333333333333
8202318,7,4,16.193333333333335
8202318,7,5,16.04
8202318,7,6,16.393333333333334
8202318,7,7,16.413333333333334
8202318,7,8,16.463333333333335
8202318,7,9,16.106896551724137
8202318,7,10,16.21333333333333
8202318,7,11,16.466666666666665
8202318,7,12,16.753333333333334
8202318,7,13,16.913333333333334
8202318,7,14,16.746666666666666
8202318,7,15,16.68
8202318,7,16,17.09333333333333
8202318,7,17,17.64
8202318,7,18,18.288888888888888
8202318,7,19,17.99642857142857
8202318,7,20,17.58214285714286
8202318,7,21,17.935714285714287
8202318,7,22,17.782142857142855
8202318,7,23,17.992857142857144
8202318,7,24,17.977777777777778
8202318,7,25,18.122222222222224
8202318,7,26,17.866666666666667
8202318,7,27,17.685714285714287
8202318,7,28,18.25
8202318,7,29,18.385714285714283
8202318,7,30,18.50357142857143
8202318,7,31,18.842857142857145
8202318,8,1,18.82857142857143
8202318,8,2,19.05185185185185
8202318,8,3,18.933333333333334
8202318,8,4,18.973076923076924
8202318,8,5,18.739285714285717
8202318,8,6,19.37857142857143
8202318,8,7,18.914814814814815
8202318,8,8,18.962962962962962
8202318,8,9,19.192592592592593
8202318,8,10,18.900000000000002
8202318,8,11,19.185185185185187
8202318,8,12,19.228571428571428
8202318,8,13,19.110344827586207
8202318,8,14,19.70689655172414
8202318,8,15,19.45862068965517
8202318,8,16,19.039285714285715
8202318,8,17,19.127586206896552
8202318,8,18,18.855172413793102
8202318,8,19,18.93793103448276
8202318,8,20,18.896551724137932
8202318,8,21,19.00344827586207
8202318,8,22,19.185714285714287
8202318,8,23,18.96551724137931
8202318,8,24,18.43103448275862
8202318,8,25,18.70344827586207
8202318,8,26,18.353571428571428
8202318,8,27,18.689655172413794
8202318,8,28,18.46896551724138
8202318,8,29,18.176666666666666
8202318,8,30,17.959999999999997
8202318,8,31,18.08
8202318,9,1,17.636666666666667
8202318,9,2,17.313333333333333
8202318,9,3,17.66
8202318,9,4,17.64
8202318,9,5,17.613333333333333
8202318,9,6,17.166666666666668
8202318,9,7,17.2448275862069
8202318,9,8,17.73
8202318,9,9,17.355172413793102
8202318,9,10,17.386666666666667
8202318,9,11,16.393333333333334
8202318,9,12,15.896666666666667
8202318,9,13,16.32
8202318,9,14,16.83103448275862
8202318,9,15,16.596666666666668
8202318,9,16,16.082758620689656
8202318,9,17,15.643333333333334
8202318,9,18,15.817241379310344
8202318,9,19,15.365517241379312
8202318,9,20,15.132142857142856
8202318,9,21,15.858620689655172
8202318,9,22,15.903448275862068
8202318,9,23,15.16551724137931
8202318,9,24,14.141379310344826
8202318,9,25,13.963333333333333
8202318,9,26,14.8
8202318,9,27,14.463333333333333
8202318,9,28,14.69032258064516
8202318,9,29,14.486206896551725
8202318,9,30,14.225806451612904
8202318,10,1,13.612903225806452
8202318,10,2,13.48709677419355
8202318,10,3,12.95483870967742
8202318,10,4,12.773333333333333
8202318,10,5,12.729999999999999
8202318,10,6,12.453333333333335
8202318,10,7,12.541935483870969
8202318,10,8,11.920689655172414
8202318,10,9,11.743333333333334
8202318,10,10,11.709677419354838
8202318,10,11,11.006451612903225
8202318,10,12,10.896774193548387
8202318,10,13,11.19032258064516
8202318,10,14,11.441935483870967
8202318,10,15,11.703225806451613
8202318,10,16,11.203225806451613
8202318,10,17,10.654838709677419
8202318,10,18,10.025806451612903
8202318,10,19,9.996774193548386
8202318,10,20,10.50344827586207
8202318,10,21,10.553333333333335
8202318,10,22,10.3
8202318,10,23,9.803225806451612
8202318,10,24,9.723333333333333
8202318,10,25,9.374193548387098
8202318,10,26,9.183870967741935
8202318,10,27,9.270000000000001
8202318,10,28,8.780645161290321
8202318,10,29,8.696774193548388
8202318,10,30,8.23225806451613
8202318,10,31,7.935483870967742
8202318,11,1,8.935483870967742
8202318,11,2,8.151612903225805
8202318,11,3,7.466666666666667
8202318,11,4,6.84
8202318,11,5,6.993333333333334
8202318,11,6,8.276666666666667
8202318,11,7,7.946666666666667
8202318,11,8,6.88
8202318,11,9,6.693333333333333
8202318,11,10,6.909677419354838
8202318,11,11,6.664516129032258
8202318,11,12,5.854838709677419
8202318,11,13,5.6
8202318,11,14,5.470967741935484
8202318,11,15,6.067741935483871
8202318,11,16,6.351612903225806
8202318,11,17,5.580645161290323
8202318,11,18,4.922580645161291
8202318,11,19,4.387096774193548
8202318,11,20,5.363333333333333
8202318,11,21,4.990322580645161
8202318,11,22,4.661290322580645
8202318,11,23,4.303225806451613
8202318,11,24,3.7
8202318,11,25,3.916129032258065
8202318,11,26,4.509677419354839
8202318,11,27,5.312903225806451
8202318,11,28,3.693548387096774
8202318,11,29,2.8193548387096774
8202318,11,30,2.74
8202318,12,1,4.416666666666667
8202318,12,2,3.990322580645161
8202318,12,3,3.216666666666667
8202318,12,4,2.0903225806451613
8202318,12,5,1.432258064516129
8202318,12,6,2.116129032258064
8202318,12,7,1.6933333333333331
8202318,12,8,0.5419354838709678
8202318,12,9,-0.13870967741935492
8202318,12,10,1.3258064516129033
8202318,12,11,1.7645161290322582
8202318,12,12,1.2806451612903227
8202318,12,13,0.8290322580645161
8202318,12,14,0.8741935483870968
8202318,12,15,0.529032258064516
8202318,12,16,-0.30322580645161284
8202318,12,17,0.7258064516129032
8202318,12,18,1.4
8202318,12,19,0.5193548387096775
8202318,12,20,0.27096774193548384
8202318,12,21,0.6870967741935484
8202318,12,22,0.667741935483871
8202318,12,23,-0.048387096774193575
8202318,12,24,0.7566666666666667
8202318,12,25,0.5516129032258064
8202318,12,26,-0.3645161290322581
8202318,12,27,0.05161290322580646
8202318,12,28,-0.7032258064516129
8202318,12,29,-0.17419354838709675
8202318,12,30,-0.46333333333333326
8202318,12,31,-2.274193548387097
8202502,1,1,-1.5583333333333333
8202502,1,2,-1.5166666666666666
8202502,1,3,-3.3833333333333333
8202502,1,4,-2.841666666666667
8202502,1,5,-1.825
8202502,1,6,-2.8625000000000003
8202502,1,7,-2.4
8202502,1,8,-2.58
8202502,1,9,-2.704166666666667
8202502,1,10,-2.243478260869565
8202502,1,11,-1.7391304347826086
8202502,1,12,-1.6826086956521737
8202502,1,13,-1.0083333333333333
