Longitude (x),Latitude (y),Station Name,Climate ID,Province
-56.1,51.38,ST ANTHONY,8403399,NEWFOUNDLAND AND LABRADOR
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,NEWFOUNDLAND AND LABRADOR
-55.38,46.92,ST LAWRENCE,8403619,NEWFOUNDLAND AND LABRADOR
-60.14,47.23,ST PAUL ISLAND (AUT),8204909,NOVA SCOTIA
-56.07,51.39,ST. ANTHONY A,8403389,NEWFOUNDLAND AND LABRADOR
-52.75,47.62,ST. JOHN'S INTL A,8403505,NEWFOUNDLAND AND LABRADOR
-62.58,46.45,ST. PETERS,8300562,PRINCE EDWARD ISLAND
-67.25,45.21,ST. STEPHEN,8104935,NEW BRUNSWICK
-63.08,46.42,STANHOPE,8300590,PRINCE EDWARD ISLAND
-58.55,48.54,STEPHENVILLE A,8403801,NEWFOUNDLAND AND LABRADOR
-58.57,48.56,STEPHENVILLE RCS,8403820,NEWFOUNDLAND AND LABRADOR
-63.84,46.44,SUMMERSIDE,8300596,PRINCE EDWARD ISLAND
-65.53,45.74,SUSSEX FOUR CORNERS,8105210,NEW BRUNSWICK
-60.05,46.16,SYDNEY A,8205701,NOVA SCOTIA
-60.05,46.16,SYDNEY A,8205703,NOVA SCOTIA
-60.04,46.16,SYDNEY CS,8205702,NOVA SCOTIA
-53.97,48.56,TERRA NOVA NAT PARK CS,8403851,NEWFOUNDLAND AND LABRADOR
-61.68,45.61,TRACADIE,8205895,NOVA SCOTIA
-54.8,49.68,TWILLINGATE (AUT),8404025,NEWFOUNDLAND AND LABRADOR
-63.06,45.23,UPPER STEWIACKE RCS,8204193,NOVA SCOTIA
-66.86,52.92,WABUSH A,8504177,NEWFOUNDLAND AND LABRADOR
-66.86,52.92,WABUSH A,8504176,NEWFOUNDLAND AND LABRADOR
-64.66,43.99,WESTERN HEAD,8206240,NOVA SCOTIA
-55.33,47.14,WINTERLAND BRANCH HILL,8404242,NEWFOUNDLAND AND LABRADOR
-67.54,46.15,WOODSTOCK NEWBRIDGE,8105603,NEW BRUNSWICK
-59.31,47.71,WRECKHOUSE,8404343,NEWFOUNDLAND AND LABRADOR
-66.09,43.83,YARMOUTH A,8206495,NOVA SCOTIA
-66.09,43.83,YARMOUTH A,8206496,NOVA SCOTIA
-66.09,43.83,YARMOUTH RCS,8206491,NOVA SCOTIA
