Climate ID,Date,Monthly_Average_Max_Temp_C,Monthly_Average_Min_Temp_C,Monthly_Average_Mean_Temp_C,Monthly_Max_Temp_C,Monthly_Min_Temp_C,Monthly_Average_Heat_Deg_Days_C,Monthly_Average_Cool_Deg_Days_C
8100300,1999-04-01,9.4667,-2.1167,3.6933,19.0,-8.0,14.3067,0.0
8100300,1999-05-01,21.629,6.0,13.8419,31.0,-3.0,4.5032,0.3452
8100300,1999-06-01,25.3167,11.1667,18.2567,32.0,3.0,1.4267,1.6833
8100300,1999-07-01,27.2419,13.3065,20.3,33.5,5.0,0.7258,3.0258
8100300,1999-08-01,23.7419,10.6613,17.2258,31.5,3.0,1.6871,0.9129
8100300,1999-09-01,22.95,10.8667,16.9367,32.0,2.0,2.35,1.2867
8100300,1999-10-01,10.4355,-0.0161,5.2387,18.0,-6.5,12.7613,0.0
8100300,1999-11-01,5.9167,-2.4,1.7633,17.5,-15.5,16.2367,0.0
8100300,1999-12-01,-0.1129,-7.6935,-3.9097,10.0,-24.5,21.9097,0.0
8100300,2000-01-01,-6.5,-16.629,-11.5903,4.5,-31.0,29.5903,0.0
8100300,2000-02-01,-3.2586,-17.8966,-10.5931,9.5,-35.0,28.5931,0.0
8100300,2000-03-01,5.1129,-6.2903,-0.5806,12.5,-25.0,18.5806,0.0
8100300,2000-04-01,8.2833,-0.9,3.71,18.0,-9.0,14.29,0.0
8100300,2000-05-01,16.1613,3.7097,9.9548,22.0,-4.5,8.0452,0.0
8100300,2000-06-01,22.3667,8.3833,15.3967,31.5,0.5,3.4433,0.84
8100300,2000-07-01,24.6452,12.2097,18.4516,30.0,7.0,0.6452,1.0968
8100300,2000-08-01,23.5484,12.4516,18.0226,27.5,4.5,0.8032,0.8258
