Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100506,2023-04-01,81.0,22.91
8100506,2023-05-01,81.0,17.48
8100506,2023-06-01,68.0,13.39
8100506,2023-07-01,55.0,23.05
8100506,2023-08-01,84.0,23.47
8100506,2023-09-01,74.0,23.67
8100506,2023-10-01,67.0,19.12
8100506,2023-11-01,61.0,27.12
8100506,2023-12-01,63.0,25.23
8100506,2024-01-01,74.0,24.57
8100506,2024-02-01,78.0,26.11
8100506,2024-03-01,80.0,22.25
8100506,2024-04-01,78.0,19.58
8100506,2024-05-01,63.0,17.19
8100506,2024-06-01,55.0,24.77
8100506,2024-07-01,59.0,23.47
8100506,2024-08-01,58.0,21.78
8100506,2024-09-01,58.0,22.46
8100506,2024-10-01,74.0,23.13
8100506,2024-11-01,71.0,22.3
8100506,2024-12-01,67.0,26.15
8100506,2025-01-01,74.0,27.22
8100506,2025-02-01,100.0,24.9
8100506,2025-03-01,85.0,24.95
8100506,2025-04-01,107.0,20.78
8100506,2025-05-01,76.0,20.57
8100506,2025-06-01,61.0,22.45
8100506,2025-07-01,74.0,24.0
8100506,2025-08-01,65.0,19.56
8100506,2025-09-01,61.0,25.8
8100506,2025-10-01,55.0,22.0
8100506,2025-11-01,71.0,22.58
8100506,2025-12-01,94.0,26.79
8100885,2003-11-01,76.0,23.07
8100885,2003-12-01,72.0,22.22
8100885,2007-08-01,50.0,27.82
8100885,2007-09-01,70.0,25.79
8100885,2007-10-01,69.0,25.13
8100885,2007-11-01,72.0,22.94
8100885,2007-12-01,87.0,22.14
8100885,2008-01-01,70.0,26.47
8100885,2008-02-01,67.0,21.06
8100885,2008-03-01,76.0,23.3
8100885,2008-04-01,87.0,18.12
8100885,2008-05-01,72.0,19.71
8100885,2008-06-01,56.0,19.33
8100885,2008-07-01,50.0,24.22
8100885,2008-08-01,57.0,20.0
8100885,2008-09-01,52.0,23.94
8100885,2008-10-01,74.0,23.38
8100885,2008-11-01,65.0,20.91
8100885,2008-12-01,76.0,23.17
8100885,2009-01-01,69.0,24.75
8100885,2009-02-01,63.0,23.71
8100885,2009-03-01,76.0,24.94
8100885,2009-04-01,78.0,22.96
8100885,2009-05-01,69.0,22.44
8100885,2009-06-01,61.0,20.5
8100885,2009-07-01,48.0,14.25
