NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
60204,WINDSOR DOWNTOWN - 467 UNIVERSITY AVE. WEST,WINDSOR,ONTARIO,ON,42.315778,-83.043667,1,1974-01-01,
60211,WINDSOR WEST - COLLEGE & SOUTH ST. ,WINDSOR,ONTARIO,ON,42.292889,-83.073139,1,1975-01-05,
60304,KINGSTON - 3,KINGSTON,ONTARIO,ON,44.21987,-76.52113,1,2013-12-31,
60410,TORONTO EAST,TORONTO,ONTARIO,ON,43.74792,-79.27406,1,1974-01-01,
60413,ETOBICOKE WEST - CENTENNIAL PARK,TORONTO,ONTARIO,ON,43.64852,-79.59138,0,1976-01-01,2016-01-13
60421,TORONTO NORTH - YONGE ST. & HENDON AVE.,TORONTO,ONTARIO,ON,43.781584,-79.41773,0,1988-06-01,2016-12-31
60428,BRAMPTON - 525 MAIN ST. N.,BRAMPTON,ONTARIO,ON,43.69875,-79.78092,0,2000-06-21,2016-12-31
60430,TORONTO WEST - 125 RESOURCES. RD.,TORONTO,ONTARIO,ON,43.709444,-79.5435,1,2000-01-01,
60433,TORONTO DOWNTOWN - BAY & WELLESLEY - 2,TORONTO,ONTARIO,ON,43.66417,-79.38722,0,2003-01-01,2019-10-11
60434,MISSISSAUGA - 3359 MISSISSAUGA RD.,MISSISSAUGA,ONTARIO,ON,43.54697,-79.65869,1,2008-01-01,
60435,ETOBICOKE SOUTH - 461 KIPLING AVENUE ,TORONTO,ONTARIO,ON,43.610761,-79.52194,1,2009-01-03,
60438,TORONTO - ROADSIDE - 401W,TORONTO,ONTARIO,ON,43.71110556,-79.543425,1,2016-01-01,
60439,TORONTO - ROADSIDE - WALLBERG,TORONTO,ONTARIO,ON,43.659018,-79.395385,0,2013-11-30,2019-06-20
60440,TORONTO NORTH - 4905 DUFFERIN ST. ,TORONTO,ONTARIO,ON,43.78042,-79.46752,1,2017-01-01,
60445,TORONTO DOWNTOWN - 55 JOHN ST. ,TORONTO,ONTARIO,ON,43.64543,-79.38908,1,2019-06-21,
