station_id,hw_group,start_date,end_date,duration_days,mean_anomaly,max_anomaly,Latitude,Longitude,Province,CSDNAME
8100300,332,1999-08-24,1999-08-28,5,3.931730434782609,5.443478260869565,46.71,-67.72,New Brunswick,Perth
8100300,334,1999-09-02,1999-09-11,10,5.988316035816036,9.289285714285715,46.71,-67.72,New Brunswick,Perth
8100300,352,1999-11-20,1999-11-25,6,6.719661918328586,9.992592592592594,46.71,-67.72,New Brunswick,Perth
8100300,356,1999-12-04,1999-12-16,13,8.22022792022792,11.61111111111111,46.71,-67.72,New Brunswick,Perth
8100300,360,2000-01-02,2000-01-05,4,5.829115384615385,11.123076923076923,46.71,-67.72,New Brunswick,Perth
8100300,372,2000-02-23,2000-03-09,16,7.485181086124021,12.442857142857141,46.71,-67.72,New Brunswick,Perth
8100300,376,2000-03-21,2000-04-06,17,4.217531116794544,7.308333333333334,46.71,-67.72,New Brunswick,Perth
8100300,390,2000-06-26,2000-06-28,3,2.9077948717948723,3.9230769230769234,46.71,-67.72,New Brunswick,Perth
8100300,402,2000-09-20,2000-09-23,4,3.3862764550264552,3.951851851851851,46.71,-67.72,New Brunswick,Perth
8100300,408,2000-10-26,2000-10-28,3,4.011904761904762,4.771428571428571,46.71,-67.72,New Brunswick,Perth
8100300,412,2000-11-07,2000-11-19,13,4.172211264518957,6.311111111111111,46.71,-67.72,New Brunswick,Perth
8100300,422,2000-12-31,2001-01-02,3,6.103128205128205,8.66,46.71,-67.72,New Brunswick,Perth
8100300,430,2001-02-06,2001-02-10,5,6.296,11.08,46.71,-67.72,New Brunswick,Perth
8100300,440,2001-03-17,2001-03-20,4,3.6031250000000004,5.470833333333333,46.71,-67.72,New Brunswick,Perth
8100300,442,2001-03-22,2001-03-24,3,3.8666666666666667,4.654166666666667,46.71,-67.72,New Brunswick,Perth
8100300,444,2001-04-21,2001-04-24,4,3.7055384615384623,6.996153846153847,46.71,-67.72,New Brunswick,Perth
8100300,448,2001-05-01,2001-05-04,4,6.913846153846153,10.78,46.71,-67.72,New Brunswick,Perth
8100300,450,2001-05-08,2001-05-12,5,6.434399999999999,7.976000000000001,46.71,-67.72,New Brunswick,Perth
8100300,452,2001-05-21,2001-05-23,3,3.1564102564102563,3.546153846153846,46.71,-67.72,New Brunswick,Perth
8100300,454,2001-05-26,2001-05-28,3,3.497435897435898,3.6884615384615405,46.71,-67.72,New Brunswick,Perth
8100300,456,2001-06-13,2001-06-16,4,4.9818461538461545,6.026923076923076,46.71,-67.72,New Brunswick,Perth
8100300,460,2001-06-25,2001-06-27,3,4.675794871794873,5.423076923076923,46.71,-67.72,New Brunswick,Perth
8100300,464,2001-07-22,2001-07-24,3,4.147333333333333,5.292000000000002,46.71,-67.72,New Brunswick,Perth
8100300,466,2001-08-02,2001-08-09,8,4.020932514245015,6.207692307692309,46.71,-67.72,New Brunswick,Perth
8100300,472,2001-09-08,2001-09-10,3,6.996428571428571,9.066666666666666,46.71,-67.72,New Brunswick,Perth
8100300,474,2001-09-21,2001-09-26,6,3.915337132003799,6.184615384615386,46.71,-67.72,New Brunswick,Perth
8100300,480,2001-10-11,2001-10-15,5,4.014900284900284,5.776923076923076,46.71,-67.72,New Brunswick,Perth
8100300,488,2003-05-18,2003-05-20,3,4.674786324786325,5.392307692307693,46.71,-67.72,New Brunswick,Perth
8100300,494,2003-06-24,2003-06-28,5,6.100676923076923,9.223076923076924,46.71,-67.72,New Brunswick,Perth
8100300,506,2003-09-14,2003-09-16,3,5.767019400352733,8.446428571428571,46.71,-67.72,New Brunswick,Perth
8100300,514,2003-09-27,2003-09-29,3,4.205460588793922,4.674074074074074,46.71,-67.72,New Brunswick,Perth
8100300,516,2003-10-11,2003-10-13,3,4.705603038936372,5.276923076923076,46.71,-67.72,New Brunswick,Perth
8100300,518,2003-10-27,2003-10-30,4,4.9625,7.271428571428571,46.71,-67.72,New Brunswick,Perth
8100300,524,2003-11-19,2003-11-22,4,6.4237891737891735,11.148148148148149,46.71,-67.72,New Brunswick,Perth
8100300,528,2003-11-28,2003-12-01,4,7.016310541310541,13.703703703703704,46.71,-67.72,New Brunswick,Perth
8100300,534,2003-12-16,2003-12-19,4,4.767984330484331,8.329629629629629,46.71,-67.72,New Brunswick,Perth
8100300,536,2003-12-23,2003-12-27,5,7.949433333333333,15.187999999999999,46.71,-67.72,New Brunswick,Perth
8100300,538,2003-12-29,2003-12-31,3,7.453,9.516666666666667,46.71,-67.72,New Brunswick,Perth
8100300,546,2004-02-01,2004-02-04,4,6.145115384615384,8.223076923076924,46.71,-67.72,New Brunswick,Perth
8100300,554,2004-02-29,2004-03-06,7,5.413352356752978,8.350000000000001,46.71,-67.72,New Brunswick,Perth
8100300,556,2004-03-25,2004-03-27,3,4.176388888888888,4.991666666666666,46.71,-67.72,New Brunswick,Perth
8100300,558,2004-03-30,2004-04-04,6,3.94681038647343,5.708695652173913,46.71,-67.72,New Brunswick,Perth
8100300,570,2004-04-30,2004-05-03,4,8.314,10.116,46.71,-67.72,New Brunswick,Perth
8100300,582,2004-07-20,2004-07-23,4,3.224333333333332,3.8874999999999993,46.71,-67.72,New Brunswick,Perth
8100300,584,2004-07-29,2004-08-01,4,4.375231481481482,5.474999999999998,46.71,-67.72,New Brunswick,Perth
8100300,590,2004-08-27,2004-08-29,3,4.562187088274045,7.743478260869566,46.71,-67.72,New Brunswick,Perth
8100300,602,2004-10-08,2004-10-11,4,4.768551587301587,5.562962962962963,46.71,-67.72,New Brunswick,Perth
8100300,618,2004-12-31,2005-01-03,4,5.483115384615385,11.66,46.71,-67.72,New Brunswick,Perth
8100300,622,2005-01-13,2005-01-15,3,9.958666666666668,14.844000000000001,46.71,-67.72,New Brunswick,Perth
8100300,624,2005-02-03,2005-02-13,11,7.023968531468531,11.736,46.71,-67.72,New Brunswick,Perth
8100300,628,2007-07-24,2007-07-29,5,3.5082985754985763,4.959259259259259,46.71,-67.72,New Brunswick,Perth
8100300,644,2007-10-02,2007-10-07,6,4.649440374440374,8.299999999999999,46.71,-67.72,New Brunswick,Perth
8100300,648,2007-10-19,2007-10-24,6,7.430709876543209,8.632142857142856,46.71,-67.72,New Brunswick,Perth
