NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date
50122,BROSSARD - PARC SORBONNE,1,EN FACE DU 8400 AVENUE SORBONNE,BROSSARD,QUEBEC,J4X 1N3,-5,45.448663,-73.480819,17,1/28/2016,
50123,MONTRÉAL - DORVAL,0,55 AVENUE LILAS,MONTRÉAL,QUEBEC,H9S 3L8,-5,45.439119,-73.7333,30,1/1/1995,2/3/2000
50124,MONTRÉAL - CHATEAUNEUF-ANJOU,1,7650 BOUL. CHÂTEAUNEUF,MONTRÉAL,QUEBEC,H1K 4H3,-5,45.602846,-73.558874,51,1/28/1997,
50125,MONTRÉAL - CENTRE RÉCRÉATIF EDOUARD RIVEST,0,11111 NOTRE-DAME EST,MONTRÉAL,QUEBEC,H1B 2V7,-5,45.62866,-73.5003,10,5/27/1996,1/1/2009
50126,MONTRÉAL - SAINTE-ANNE DE BELLEVUE,1,20965 CH. SAINTE-MARIE,MONTRÉAL,QUEBEC,H9J 3H2,-5,45.426542,-73.928929,39,10/8/1997,
50128,MONTRÉAL - AÉROPORT DE MONTRÉAL - 1,1,"90-A RUE HERVE-SAINT-MARTIN, DORVAL",MONTRÉAL,QUEBEC,H4S 2A5,-5,45.468322,-73.741198,33,1/1/1998,
50129,MONTRÉAL - RIVIÈRE-DES-PRAIRIES,1,12400 WILFRID-OUELLETTE (R-D-P),MONTRÉAL,QUEBEC,H1E 6K4,-5,45.651691,-73.573825,29,12/4/1998,
50130,MONTRÉAL - AÉROPORT DE MONTRÉAL - 2,0,"711-A RUE CLEMENT, DORVAL",MONTRÉAL,QUEBEC,,-5,45.45578,-73.76692,28,10/1/1998,10/22/1999
50131,MONTRÉAL - HOCHELAGA-MAISONNEUVE,1,3259 STE-CATHERINE EST,MONTRÉAL,QUEBEC,H1W 2C6,-5,45.539928,-73.540388,25,4/5/2001,
50133,MONTRÉAL - CHENIER,0,"8200A RUE CHENIER, Arena Chenier",MONTRÉAL,QUEBEC,H1K 5E9,-5,45.60176,-73.541992,41,12/21/2007,12/31/2018
50134,MONTRÉAL - MOLSON ,1,2580 SAINT-JOSEPH EST,MONTRÉAL,QUEBEC,H1Y 2A2,-5,45.54271,-73.57176,53,9/28/2008,
50135,MONTRÉAL-CASERNE 17,1,4240 RUE CHARLEROI,MONTRÉAL,QUEBEC,H1H 1T3,-5,45.5934,-73.63726,41,4/12/2013,
50136,MONTRÉAL - ST-DOMINIQUE,1,75 RUE ONTARIO EST,MONTRÉAL,QUEBEC,H2X 2X2,-5,45.512189,-73.566842,32,1/28/2016,
50137,TERREBONNE - PARC VAILLANT,1,RUES VAILLANT ET DE GRAND-CHAMP,TERREBONNE,QUEBEC,J6X 1N1,-5,45.70476,-73.65776,34,11/16/2016,
